timestamp,encoderR,encoderL
26313075,12894.14,8153.2
26322927,12937.31,8188.88
26332953,12980.39,8225.38
26342900,13036.39,8266.72
26352920,13087.34,8302.32
26362938,13135.5,8412.23
26372907,13188.63,8452.94
26382924,13233.07,8498.96
26392908,13282.2,8536.58
26402933,13328.13,8580.3
26412934,13389.87,8620.92
26422917,13439.14,8656.19
26432914,13495.43,8767.28
26442912,13542.92,8800.98
26452945,13594.11,8840.93
26462936,13639.87,8874.41
26473001,13688.65,8909.9
26483100,13741.95,8950.62
26492932,13796.32,8988.58
26502970,13850.94,9022.54
26512897,13927.61,9133.19
26523007,14005.16,9165.45
26533027,14104.93,9199.77
26542990,14204.98,9228.15
26552943,14302.56,9249.95
26563089,14415.56,9273.21
26572939,14541.43,9297.21
26582916,14644.42,9318.91
26593045,14755.88,9340.25
26602917,14868.29,9358.2
26612935,14956.68,9371.56
26622974,15068.31,9386.54
26632922,15139.61,9478.48
26642953,15230.09,9490.72
26652960,15300.77,9501.17
26662904,15371.23,9513.07
26672943,15437.02,9522.77
26682970,15498.75,9535.09
26693001,15563.53,9547.32
26703068,15609.73,9564.72
26712921,15652.58,9584.24
26722956,15690.47,9607.48
26732916,15735.79,9634.11
26742903,15779.22,9659.07
26753018,15829.14,9686.98
26762919,15880.58,9712.9
26772915,15929.82,9734.52
26782928,15978.55,9837.3
26792939,16034.66,9861.24
26803125,16088.66,9885.66
26812962,16146.93,9915.49
26822910,16195.52,9942.18
26832941,16263.31,9969.29
26842914,16323.08,9997.35
26852932,16390.78,10025.2
26863005,16453.11,10056.29
26872902,16521.84,10084.61
26882903,16576.75,10107.36
26892913,16665.73,10211.27
26902945,16744.75,10238.08
26912986,16820.99,10262.5
26923059,16899.98,10288.97
26933087,16977.14,10312.21
26942992,17061.98,10332.63
26952933,17141.43,10355.47
26962984,17229.41,10379.28
26972922,17319.7,10402.31
26983049,17396.79,10427.46
26993075,17478.81,10450.36
27002969,17552.03,10471.36
27012901,17628.96,10576.01
27022909,17714.25,10606.14
27032920,17784.47,10637.29
27042904,17859.86,10669.96
27053223,17928.53,10702.97
27063042,17997.68,10734.94
27072914,18065.63,10773.45
