timestamp,encoderR,encoderL
22742907,-0.02,-0.02
22752947,-0.02,-0.01
22762924,-0.02,-0.0
22772920,0.01,-0.01
22782952,-0.02,-0.01
22792953,-0.01,-0.01
22802936,-0.03,-0.02
22812913,0.01,-0.02
22822915,0.0,0.0
22832912,0.0,-0.02
22842962,-0.03,0.01
22852904,-0.02,-0.0
22863039,-0.02,-0.01
22872931,-0.01,0.0
22882918,-0.01,0.0
22893229,-0.0,-0.01
22902912,0.0,0.01
22912926,0.01,0.07
22922941,-3.84,1.92
22933089,-12.02,7.14
22943029,-21.16,14.67
22952924,-23.42,21.08
22962979,-18.26,25.57
22973053,-13.67,30.44
22983249,0.17,36.22
22994682,17.85,42.07
23002935,34.54,47.65
23012960,60.12,55.88
23022898,85.16,66.84
23033030,114.45,80.2
23043660,138.63,93.81
23052916,168.94,113.63
23062934,197.26,131.2
23072941,221.88,150.44
23083046,257.24,170.51
23092970,285.29,269.35
23102979,317.85,294.38
23112895,347.3,321.4
23122928,382.35,345.89
23132985,414.5,370.23
23142938,449.23,394.58
23152899,489.74,418.1
23162945,527.98,446.48
23173011,569.1,475.88
23182927,603.29,500.61
23192971,658.27,524.62
23202960,700.11,627.7
23212974,745.75,652.31
23223043,786.1,681.55
23232914,830.48,710.34
23242894,868.82,735.12
23252910,906.38,762.49
23262935,940.14,792.34
23273103,984.51,823.09
23282957,1020.33,854.24
23292924,1060.7,881.31
23302988,1097.14,985.49
23312960,1133.5,1017.2
23322918,1176.91,1048.57
23332968,1217.33,1081.29
23342934,1261.73,1111.67
23353705,1294.02,1138.09
23372981,1386.61,1205.74
23382913,1430.17,1230.38
23392939,1465.16,1256.52
23403559,1502.28,1361.44
23412947,1542.51,1393.71
23422894,1583.19,1426.94
23432922,1619.54,1457.06
23442924,1654.27,1485.54
23452940,1702.24,1520.19
23462940,1741.01,1554.01
23472930,1785.52,1586.55
23482974,1825.24,1615.58
23493077,1872.04,1723.03
23503000,1918.31,1757.83
23512944,1969.88,1791.73
23522932,2010.05,1819.25
23532933,2060.01,1848.45
23542920,2099.12,1879.0
23552936,2142.91,1907.87
23562930,2181.51,1935.51
23572920,2225.65,1958.89
23583029,2267.03,2059.3
23592940,2313.99,2085.85
23602943,2354.59,2116.25
23612946,2397.59,2145.41
23622986,2444.08,2174.63
23632915,2489.45,2202.21
23643062,2529.69,2235.56
23652915,2571.46,2272.17
23663055,2611.96,2304.9
23672951,2649.99,2331.44
23682956,2691.69,2441.32
23692906,2726.93,2473.78
23703033,2766.8,2509.62
23712939,2811.67,2542.08
23722926,2854.32,2573.14
23732951,2893.23,2611.19
23742973,2936.76,2645.73
23753062,2979.25,2676.94
23762999,3028.82,2785.5
23772902,3068.89,2814.17
23782934,3108.36,2846.57
23792929,3152.1,2876.2
23802957,3195.03,2900.28
23812998,3234.77,2926.61
23822894,3277.74,2955.45
23832950,3318.69,2984.04
23842925,3360.75,3013.55
23852902,3406.79,3039.68
23862909,3445.81,3142.67
23873011,3484.67,3173.28
23882950,3535.16,3204.37
23892959,3580.22,3237.53
23903008,3621.26,3267.76
23912936,3665.4,3296.6
23923053,3707.12,3331.45
23932923,3753.74,3365.56
23942920,3794.15,3391.04
23952939,3840.1,3416.6
23962910,3891.32,3523.1
23972899,3942.73,3550.75
23982921,3988.34,3582.32
23992966,4041.27,3611.2
24002927,4088.85,3637.18
24012943,4140.43,3667.65
24022934,4183.61,3698.96
24032934,4238.06,3731.48
24042948,4284.64,3758.83
24052928,4334.73,3862.13
24062938,4381.27,3891.7
24072896,4435.66,3923.95
24082910,4486.44,3953.44
24092953,4540.67,3982.14
24102929,4598.27,4010.17
24112929,4658.35,4038.73
24122940,4711.91,4069.88
24132914,4773.22,4097.72
24142962,4828.57,4119.77
24152906,4886.68,4222.06
24162904,4947.81,4247.5
24172939,5012.42,4273.49
24183149,5077.51,4303.01
24192954,5139.95,4330.15
24202925,5202.73,4354.29
24212946,5268.45,4382.42
24224021,5349.65,4410.3
24232898,5406.1,4441.03
24242998,5474.49,4467.3
24252910,5538.63,4488.51
24263061,5607.8,4590.45
24272899,5679.57,4616.72
24282968,5754.68,4641.13
24292905,5822.97,4667.67
24303063,5899.68,4691.6
24312928,5964.78,4713.39
24322922,6044.29,4737.95
24332946,6121.17,4764.77
24342951,6189.9,4790.76
24353036,6270.39,4817.18
24363046,6338.51,4839.46
24373145,6421.94,4940.82
24382926,6489.12,4963.65
24392919,6561.81,4991.08
24402907,6635.28,5017.57
24412894,6697.47,5044.65
24422962,6773.96,5071.4
24433009,6838.33,5096.11
24442916,6909.03,5126.3
24452976,6971.31,5157.04
24462911,7031.91,5182.41
24472929,7083.21,5207.48
24483022,7146.77,5312.99
24492911,7197.87,5341.25
24502979,7252.19,5375.3
24512945,7302.81,5408.1
24523031,7358.33,5437.62
24533017,7405.73,5471.44
24542899,7465.14,5506.1
24552930,7513.5,5539.38
24562922,7565.82,5567.0
24572894,7613.27,5670.93
24582983,7667.13,5701.05
24592920,7717.11,5732.2
24602991,7770.23,5758.67
24612919,7827.89,5785.39
24622907,7888.96,5812.82
24632923,7944.3,5839.62
24642928,8007.45,5869.47
24652895,8065.71,5896.41
24662934,8125.99,5917.8
24672894,8194.28,6019.31
24683381,8252.55,6043.93
24692943,8316.68,6068.55
24702949,8378.38,6096.46
24712920,8449.46,6123.14
24723018,8510.08,6146.78
24732927,8588.44,6173.14
24742958,8652.9,6201.56
24752993,8721.96,6227.01
24762911,8784.14,6253.88
24772938,8851.17,6276.29
24783017,8926.13,6295.62
24792910,8990.26,6396.15
24802919,9061.43,6418.03
24812941,9127.15,6443.96
24822945,9197.34,6470.56
24832901,9264.77,6493.53
24842928,9334.46,6518.79
24852943,9396.55,6545.59
24862920,9469.43,6573.23
24872974,9536.37,6603.78
24882940,9606.79,6629.23
24892909,9686.66,6650.64
24902941,9752.57,6754.43
24913101,9824.43,6782.42
24923018,9887.13,6810.13
24932922,9953.02,6838.19
24942946,10021.93,6864.75
24952909,10092.29,6890.06
24962983,10154.79,6920.53
24972900,10226.23,6952.79
24983030,10284.78,6979.3
24992906,10352.73,7005.45
25002929,10409.61,7111.55
25012906,10468.78,7140.57
25022916,10522.76,7174.54
25032910,10583.44,7204.6
25042925,10635.36,7236.51
25053227,10686.14,7270.9
25062921,10753.82,7305.39
25072924,10803.67,7339.75
25082905,10855.19,7368.82
25092929,10901.75,7475.47
25102938,10953.82,7509.64
25112953,10996.22,7545.06
25122910,11039.75,7574.72
25133737,11096.9,7607.16
25142907,11143.7,7640.55
25153030,11194.55,7678.85
25162927,11242.74,7711.69
25173060,11296.13,7817.93
25182912,11343.28,7850.46
25192935,11390.86,7885.95
25202934,11439.73,7916.41
25212906,11489.01,7947.09
25222909,11530.97,7979.09
25232911,11577.89,8011.2
25243032,11622.25,8046.56
25252940,11671.57,8074.4
25262949,11713.8,8182.54
25272955,11760.26,8216.44
25282939,11808.64,8250.36
25292906,11855.91,8285.91
25302956,11896.5,8319.6
25312913,11941.74,8352.98
25322950,11981.65,8391.72
25332918,12027.76,8422.63
25342922,12066.99,8451.13
25352948,12110.34,8559.12
25362969,12159.0,8589.17
25373032,12205.91,8623.37
25382923,12248.12,8655.32
25392911,12293.72,8686.03
25402934,12335.28,8724.12
25412961,12378.61,8764.5
25422928,12416.1,8796.1
25432974,12450.39,8908.66
25442963,12485.54,8943.12
25453001,12529.86,8982.25
25462956,12568.98,9017.04
25472956,12603.72,9048.28
25483011,12642.06,9085.71
25492954,12679.55,9123.47
25502931,12722.81,9152.02
25512920,12762.45,9260.0
25522919,12805.89,9290.47
25533025,12846.79,9326.86
25543310,12895.77,9358.62
25554827,12944.97,9390.62
25562964,12994.72,9424.02
25572918,13041.52,9460.26
25582916,13092.92,9491.33
25592968,13138.6,9519.17
25602998,13186.36,9621.71
25612940,13239.71,9648.48
25622935,13293.63,9677.23
25632936,13341.86,9703.71
25642973,13397.24,9730.12
25652907,13448.42,9756.38
25662975,13503.79,9781.97
25672998,13548.94,9813.33
25682894,13610.22,9845.18
25692970,13658.06,9869.91
25702894,13710.99,9896.12
25712925,13757.45,10003.11
