gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
-42.0,97.0,49.0,12.0,200.0,17112.0,0.0,0.0,17592.0,17.592,0.0,-0.32061068702290074,0.7404580152671756,0.37404580152671757,0.00718260498046875,0.1197100830078125,10.242394702148436,0.0,0.0,0.0,0.0,0.0,0.0
-42.0,97.0,49.0,12.0,200.0,17112.0,0.55,-0.83,17602.0,17.602,0.010000000000001563,-0.32061068702290074,0.7404580152671756,0.37404580152671757,0.00718260498046875,0.1197100830078125,10.242394702148436,-0.008431560747053528,-0.004747188489963305,1.025577988849313,-0.009676105373056555,1.025577988849313,0.0
-55.0,75.0,84.0,264.0,264.0,17024.0,0.55,-0.83,17612.0,17.612,0.00999999999999801,-0.4198473282442748,0.5725190839694656,0.6412213740458015,0.1580173095703125,0.1580173095703125,10.189722265624999,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-26.0,103.0,77.0,320.0,240.0,17088.0,0.55,-0.83,17622.0,17.622,0.010000000000001563,-0.1984732824427481,0.7862595419847328,0.5877862595419847,0.19153613281249998,0.143652099609375,10.228029492187499,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-54.0,74.0,76.0,196.0,208.0,17048.0,0.55,-0.83,17632.0,17.632,0.010000000000001563,-0.4122137404580153,0.5648854961832062,0.5801526717557252,0.11731588134765625,0.12449848632812499,10.204087475585936,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-59.0,88.0,62.0,244.0,236.0,17020.0,0.55,-0.83,17642.0,17.642,0.00999999999999801,-0.45038167938931295,0.6717557251908397,0.4732824427480916,0.14604630126953125,0.14125789794921875,10.187328063964843,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-56.0,106.0,88.0,284.0,184.0,17044.0,0.55,-0.83,17652.0,17.652,0.010000000000001563,-0.42748091603053434,0.8091603053435115,0.6717557251908397,0.16998831787109375,0.11013327636718749,10.20169327392578,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-76.0,88.0,72.0,252.0,248.0,17004.0,0.55,-0.83,17662.0,17.662,0.00999999999999801,-0.5801526717557252,0.6717557251908397,0.549618320610687,0.15083470458984374,0.1484405029296875,10.177751257324218,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-79.0,70.0,74.0,236.0,208.0,17148.0,0.55,-0.83,17672.0,17.672,0.010000000000001563,-0.6030534351145038,0.5343511450381679,0.5648854961832062,0.14125789794921875,0.12449848632812499,10.263942517089843,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-65.0,93.0,77.0,200.0,216.0,17140.0,0.55,-0.83,17682.0,17.682,0.00999999999999801,-0.4961832061068702,0.7099236641221374,0.5877862595419847,0.1197100830078125,0.1292868896484375,10.259154113769531,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-79.0,110.0,46.0,172.0,252.0,17004.0,0.55,-0.83,17693.0,17.693,0.011000000000002785,-0.6030534351145038,0.8396946564885496,0.3511450381679389,0.10295067138671875,0.15083470458984374,10.177751257324218,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-79.0,110.0,46.0,172.0,252.0,17004.0,0.55,-0.83,17702.0,17.702,0.009000000000000341,-0.6030534351145038,0.8396946564885496,0.3511450381679389,0.10295067138671875,0.15083470458984374,10.177751257324218,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-37.0,81.0,70.0,492.0,216.0,17144.0,0.55,-0.83,17712.0,17.712,0.00999999999999801,-0.2824427480916031,0.6183206106870229,0.5343511450381679,0.29448680419921874,0.1292868896484375,10.261548315429687,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
-72.0,83.0,69.0,272.0,140.0,17024.0,0.55,-0.83,17722.0,17.722,0.010000000000001563,-0.549618320610687,0.6335877862595419,0.5267175572519084,0.16280571289062498,0.08379705810546874,10.189722265624999,-0.008431560747053528,-0.004747188489963305,1.025577988849313,0.0,0.0,0.0
