timestamp_s,dt,x_odom,y_odom,theta_odom,x_ins,y_ins,theta_ins,x_fused,y_fused,theta_fused
22.202911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.212943,0.01003199999999893,0.0,0.0,0.0,-4.698620681441186e-06,-5.541962855033193e-06,0.0,0.0,0.0,0.0
22.223107,0.010163999999999618,0.0,0.0,0.0,-1.3787464934042961e-05,-1.6598278057302433e-05,1.3541623295625723e-06,0.0,0.0,1.3541623295625723e-06
22.232932,0.00982500000000286,0.0,0.0,0.0,-2.5924349907255458e-05,-3.329477281425528e-05,-5.190822365418068e-06,0.0,0.0,-5.190822365418068e-06
22.242916,0.009983999999999327,0.0,0.0,0.0,-4.434348157034985e-05,-5.909159550848277e-05,-1.5832268015439567e-05,0.0,0.0,-1.5832268015439567e-05
22.252951,0.010034999999998462,0.0,0.0,0.0,-6.490631863342809e-05,-9.490519637208187e-05,-2.7865047511152827e-05,0.0,0.0,-2.7865047511152827e-05
22.262924,0.00997300000000223,0.0,0.0,0.0,-8.308023887454343e-05,-0.00014002277312604372,-3.716605364939736e-05,0.0,0.0,-3.716605364939736e-05
22.272916,0.009991999999996892,0.0,0.0,0.0,-9.901837366863073e-05,-0.00019478790078455838,-4.648477954263808e-05,0.0,0.0,-4.648477954263808e-05
22.282938,0.010022000000002862,0.0,0.0,0.0,-0.00011608719921117599,-0.0002600577971845063,-6.784867543697965e-05,0.0,0.0,-6.784867543697965e-05
22.292934,0.009995999999997451,0.0,0.0,0.0,-0.00013658125405533516,-0.0003344880239585056,-7.450757284267845e-05,0.0,0.0,-7.450757284267845e-05
22.302995,0.01006100000000032,0.0,0.0,0.0,-0.00015830003069045744,-0.00041788437737021265,-0.00010399724210183427,0.0,0.0,-0.00010399724210183427
22.313071,0.010076000000001528,0.0,0.0,0.0,-0.00018381942012810673,-0.0005077246131324567,-9.460017623911039e-05,0.0,0.0,-9.460017623911039e-05
22.322962,0.00989099999999965,0.0,0.0,0.0,-0.00020734861238040726,-0.0006029424004495099,-0.00011963819005575397,0.0,0.0,-0.00011963819005575397
22.332945,0.009982999999998299,0.0,0.0,0.0,-0.00023407985103332757,-0.0007059651814761976,-8.771705065546738e-05,0.0,0.0,-8.771705065546738e-05
22.34292,0.009975000000000733,0.0,0.0,0.0,-0.00025805085583111513,-0.0008179581702614898,-8.505908740529261e-05,0.0,0.0,-8.505908740529261e-05
22.352929,0.010009000000000157,0.0,0.0,0.0,-0.00028342360903659973,-0.0009377681276198974,-0.00011572985161245787,0.0,0.0,-0.00011572985161245787
22.362987,0.010058000000000789,0.0,0.0,0.0,-0.00030662012266102144,-0.0010642199524176462,-8.222885616100684e-05,0.0,0.0,-8.222885616100684e-05
22.37297,0.009982999999998299,0.0,0.0,0.0,-0.00033262641172954866,-0.0011973642132287628,-2.104667231045758e-05,0.0,0.0,-2.104667231045758e-05
22.382928,0.009958000000001022,0.0,0.0,0.0,-0.0003396968276607216,-0.0013655515468546891,-0.00010197639064427745,0.0,0.0,-0.00010197639064427745
22.392907,0.009979000000001292,0.0,0.0,0.0,-0.0002648842153324222,-0.0015385842306820828,0.00047902146772752825,0.0,0.0,0.00047902146772752825
22.402947,0.010040000000000049,0.0,0.0,0.0,-0.00021049026080298858,-0.001712443965935374,0.0005111248674649752,0.0,0.0,0.0005111248674649752
22.412911,0.009964000000000084,0.0,0.0,0.0,-0.00017706918125650974,-0.0018847610963911802,0.0005429852534195493,0.0,0.0,0.0005429852534195493
22.422918,0.0100069999999981,0.0,0.0,0.0,-0.00041845577609506975,-0.0020037620017703084,0.005689311049095672,0.0,0.0,0.005689311049095672
22.432976,0.010058000000000789,0.009635975509647317,0.0007049173600470547,0.1460493333755983,-0.0015016033777442797,-0.0021893355392703716,0.008456493273385528,0.0,0.0,0.008456493273385528
22.443013,0.010037000000000518,0.009635975509647317,0.0007049173600470547,0.1460493333755983,-0.0025560255450711314,-0.002407522866922514,0.0016071399439949452,0.0,0.0,0.0016071399439949452
22.452957,0.009944000000000841,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.0037030735809380267,-0.0026343120039925426,-0.00029402189626692287,0.0,0.0,-0.00029402189626692287
22.462918,0.009960999999997,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.004715580648098541,-0.002890534040997871,-0.007419309781926701,0.0,0.0,-0.007419309781926701
22.472905,0.00998700000000241,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.006382117754417977,-0.002990369473665817,-0.01854296192571711,0.0,0.0,-0.01854296192571711
22.483025,0.010120000000000573,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.00864779988140021,-0.0030696551466123777,-0.02601254478428331,0.0,0.0,-0.02601254478428331
22.492908,0.009882999999998532,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.010852906295743429,-0.003089081409374708,-0.03475954464765045,0.0,0.0,-0.03475954464765045
22.503062,0.010153999999999996,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.013352810176112955,-0.003133707363561559,-0.04020333263668829,0.0,0.0,-0.04020333263668829
22.512972,0.009910000000001418,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.016052968990156954,-0.0031985400109694846,-0.04117772997339077,0.0,0.0,-0.04117772997339077
22.523079,0.010106999999997868,0.002691061272317788,0.00017070974394364509,0.0074897094038768874,-0.018945375610671233,-0.0033655454996119874,-0.04032535233517026,0.0,0.0,-0.04032535233517026
