gyroX,gyroY,gyroZ,accelX,accelY,accelZ,encoderR,encoderL,timestamp,timestamp_s,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x,y,theta,linear_displacement,delta_theta_odom,delta_theta_gyro
-871.0,635.0,4275.0,-3044.0,-3356.0,16652.0,1.14,-0.48,17902.0,17.902,0.010000000000001563,-6.648854961832061,4.847328244274809,32.63358778625954,-1.8219874633789062,-2.0087351928710935,9.967061511230469,0.01482365832509404,0.0001926124734248419,0.040192134817376525,0.0038197517959771845,0.014496211749438917,0.0056956355360892556
-871.0,635.0,4275.0,-3044.0,-3356.0,16652.0,1.24,-0.4,17913.0,17.913,0.010999999999999233,-6.648854961832061,4.847328244274809,32.63358778625954,-1.8219874633789062,-2.0087351928710935,9.967061511230469,0.018864306221114794,0.00036778208357852624,0.04645733390707329,0.00404444307809349,0.009664141166292734,0.006265199089696764
-21.0,-600.0,706.0,-4004.0,2424.0,13644.0,1.35,-0.29,17922.0,17.922,0.009000000000000341,-0.16030534351145037,-4.580152671755725,5.3893129770992365,-2.3965958618164063,1.4508862060546874,8.166621862792969,0.023802083351861042,0.0005994378205435643,0.04730388520991088,0.004943208206558717,6.528529210665403e-17,0.000846551302837587
-458.0,299.0,-4268.0,-3636.0,2480.0,19852.0,1.44,-0.98,17932.0,17.932,0.00999999999999801,-3.49618320610687,2.282442748091603,-32.58015267175573,-2.176329309082031,1.484405029296875,11.882422839355469,0.010333929029012187,2.389649237719135e-07,0.04161757586066636,-0.013481476926978304,0.3769015054854148,-0.0056863093492445175
120.0,510.0,-9831.0,-4300.0,464.0,19708.0,1.54,-0.88,17942.0,17.942,0.010000000000001563,0.916030534351145,3.8931297709923665,-75.04580152671755,-2.5737667846679684,0.277727392578125,11.796231579589843,0.014824991686971378,0.0001577988135913837,0.028519612596270227,0.004493825642326105,8.393823270855519e-17,-0.013097963264396132
-114.0,-689.0,-14684.0,-2600.0,2856.0,16924.0,1.62,-0.74,17952.0,17.952,0.010000000000001563,-0.8702290076335878,-5.259541984732825,-112.09160305343511,-1.5562310791015623,1.7094599853515624,10.129867224121092,0.019767332128317543,0.00025041811624258416,0.008955937225057449,0.00494320820655871,-0.02899242349887803,-0.01956367537121278
1929.0,-435.0,-16889.0,-388.0,4532.0,18844.0,1.72,-0.62,17962.0,17.962,0.00999999999999801,14.725190839694656,-3.3206106870229006,-128.9236641221374,-0.23223756103515625,2.712630480957031,11.279084020996093,0.024710527319435047,0.00023907457613850475,-0.0135454870016039,0.004943208206558704,-0.00966414116629286,-0.02250142422666135
-645.0,-122.0,-17747.0,-144.0,4256.0,12916.0,1.81,-0.51,17972.0,17.972,0.010000000000001563,-4.923664122137405,-0.9312977099236641,-135.4732824427481,-0.086191259765625,2.5474305664062498,7.730877160644531,0.029202907098535902,0.0001250885070185237,-0.03719003527270941,0.004493825642326109,-0.009664141166292535,-0.023644548271105504
1075.0,-730.0,-18783.0,-3316.0,-16.0,21192.0,1.91,-0.38,17982.0,17.982,0.00999999999999801,8.206106870229007,-5.572519083969466,-143.38167938931298,-1.9847931762695312,-0.009576806640625,12.684480395507812,0.034364424684160344,-0.00013166300385740148,-0.06221485919652847,0.0051678994886750085,-0.01449621174943918,-0.02502482392381906
-3592.0,-848.0,-18554.0,-972.0,1808.0,15252.0,2.0,-0.25,17992.0,17.992,0.010000000000001563,-27.419847328244273,-6.473282442748092,-141.63358778625954,-0.5817910034179687,1.0821791503906248,9.129090930175781,0.03929389370785625,-0.0004999597833871113,-0.08693458357935889,0.004943208206558712,-0.019328282332585385,-0.02471972438283042
