timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,theta_ins,x_ins,y_ins
22742907,-14,19,-12,-88,4,-67,0.0,-0.10687022900763359,0.1450381679389313,0.4500215664139453,-0.054585236041449436,0.001568034725473427,-0.040102877807617184,0.0,0.0,0.0
22752947,-14,19,-12,-88,4,-67,10040.0,-0.10687022900763359,0.1450381679389313,0.6608183166809796,-0.057021232314733446,-0.0032393273496763263,-0.040102877807617184,9.732682338082666e-05,-0.0028125196933405736,-4.2257096804231506e-05
22762924,-8,-8,43,-176,-16,5,9977.0,-0.061068702290076333,-0.061068702290076333,0.8814798433205665,-0.05753264071309605,-0.007912829721547422,0.002992752075195312,0.00023160816899739885,-0.011252897301053244,-0.0004042335702165928
22772920,-16,-3,1,-140,-52,-11,9996.0,-0.12213740458015267,-0.022900763358778626,1.092810268955669,-0.05548260168481963,-0.01208958416951137,-0.006584054565429687,0.0004038285675156627,-0.025388365390694546,-0.0015459742827533328
22782952,-1,18,-23,-84,8,13,10032.0,-0.007633587786259542,0.13740458015267176,1.2675729467716932,-0.05047610660043582,-0.015433733574982879,0.007781155395507812,0.0006104700044714831,-0.04507344953166556,-0.0038880151571316387
22792953,-18,10,-21,-144,40,93,10001.0,-0.13740458015267176,0.07633587786259542,1.3678709395999218,-0.04237219057880912,-0.017604844127354115,0.05566518859863281,0.000840478868401777,-0.06967612109031388,-0.007742297910892608
22802936,-65,-23,33,-120,-248,9,9983.0,-0.4961832061068702,-0.17557251908396945,1.3426187160354426,-0.0312686205692128,-0.01821197526173228,0.0053869537353515625,0.0010766116033270859,-0.09838530840828902,-0.013310048469324211
22812913,14,-7,20,-124,4,37,9977.0,0.10687022900763359,-0.05343511450381679,1.1271558812210936,-0.01758677520233453,-0.016985167398780605,0.022146365356445312,0.0012916443803154879,-0.13012478508770606,-0.02064530753954286
22822915,-30,-22,-7,-196,0,-27,10002.0,-0.22900763358778625,-0.16793893129770993,0.644942254094589,-0.0022309667939475974,-0.013974367703697794,-0.016160861206054686,0.0014463200449111719,-0.16365616266458566,-0.029653379373958635
22832912,-3,-3,6,-92,44,-39,9997.0,-0.022900763358778626,-0.022900763358778626,-0.1896460735446602,0.013211771138161124,-0.009402007180538892,-0.023343466186523436,0.0014860402123968006,-0.19738990862527112,-0.04001515502198344
22842962,0,-49,-2,-108,24,-67,10050.0,0.0,-0.37404580152671757,-1.4665447624717485,0.026314608926853528,-0.003368632409992877,-0.040102877807617184,0.0013407876471693402,-0.23002729718655576,-0.05133968670432002
22852904,-21,-6,-17,-132,-44,-43,9942.0,-0.16030534351145037,-0.04580152671755725,-3.27150118657876,0.0337590901828377,0.004234938120262097,-0.025737667846679687,0.0009297132781165657,-0.25984166941575126,-0.06283709655202409
22863039,-16,-5,21,-120,48,-87,10135.0,-0.12213740458015267,-0.03816793893129771,-5.672883662218687,0.03128119770789986,0.0136171099984282,-0.052073886108398436,0.00013863109708192535,-0.2870514574538816,-0.07407484881033136
22872931,-19,17,-17,-168,-48,-295,9892.0,-0.1450381679389313,0.1297709923664122,-8.702971524683758,0.013577850410525246,0.024941828092714335,-0.17657237243652343,-0.0011023500076112033,-0.31088083160623825,-0.08365182105556809
22882918,-10,5,30,-192,-12,-23,9987.0,-0.07633587786259542,0.03816793893129771,-12.33312647554063,-0.025738282054914366,0.03819897371933598,-0.013766659545898436,-0.0029357093973750035,-0.3341302385889938,-0.09079278294065167
22893229,13,-23,13,-124,-108,-23,10311.0,0.09923664122137404,-0.17557251908396945,-16.44276455545747,-0.09403744875887748,0.0530026985804035,-0.013766659545898436,-0.0055249770095977795,-0.36161610315666226,-0.09409850437001552
22902912,13,-23,13,-124,-108,-23,9683.0,0.09923664122137404,-0.17557251908396945,-20.78260156712343,-0.19925568844634503,0.06828385539229823,-0.013766659545898436,-0.008670524755245813,-0.3972612918625935,-0.09201606548757854
22912926,4,3,-13,-140,16,-75,10014.0,0.030534351145038167,0.022900763358778626,-24.934058834579073,-0.34906633438487006,0.08199147088960486,-0.044891281127929686,-0.012665641334103382,-0.4549178220939548,-0.08294656580921916
22922941,-27,-9,33,-84,24,-467,10015.0,-0.20610687022900764,-0.06870229007633588,-28.267679736522876,-0.5496807962432083,0.09100720053532455,-0.27952304382324217,-0.017315332954651864,-0.5487539878389353,-0.06526748894432799
22933089,-184,-868,-6627,1216,132,393,10148.0,-1.4045801526717556,-6.625954198473282,-29.93637841890748,-0.8037263289094656,0.09132140316905309,0.23523031311035156,-0.02246976830033468,-0.7013458684623829,-0.037201302131769684
22943029,-14,-584,-14196,-1300,2108,-1731,9940.0,-0.10687022900763359,-4.458015267175573,-29.01086204853417,-1.1070709249113124,0.07908390593746885,-1.036090768432617,-0.02758302075300966,-0.9319198191810925,0.0009900923048634688
22952924,367,231,-18051,880,2632,185,9895.0,2.801526717557252,1.7633587786259541,-24.82577550456968,-1.4462160699554027,0.054129268440614206,0.11073182678222655,-0.0322318232748982,-1.2706891893494487,0.0495397011057415
22962979,-159,2063,-8908,-1972,-1028,-1611,10055.0,-1.213740458015267,15.748091603053435,-17.3719581096928,-1.7967930086203832,0.024180973651917684,-0.9642647186279296,-0.03593452367532283,-1.760174067826899,0.10889297173123418
22973053,1303,2125,-170,-8976,-4496,-1779,10074.0,9.946564885496183,16.221374045801525,-7.410537934401539,-2.125598425803636,0.0024234165543265433,-1.064821188354492,-0.03811320827713707,-2.432017169314769,0.17752258992736336
