timestamp,encoderR,encoderL
26582902,6030.23,9827.75
26593054,6021.1,9823.28
26603042,6014.08,9819.22
26612913,6010.11,9816.86
26623029,6008.71,9815.45
26632959,6008.72,9815.17
26642946,6008.74,9815.16
26652919,6008.74,9815.17
26662938,6008.7,9815.17
26672935,6008.74,9815.15
26682976,6008.73,9815.17
26692956,6008.74,9815.15
26702943,6008.75,9815.16
26712971,6008.73,9815.16
26722910,6008.7,9815.17
26732925,6008.73,9815.15
26742915,6008.71,9815.15
26752902,6008.75,9815.16
26762908,6008.73,9815.14
26772939,6008.7,9815.17
26782974,6008.73,9815.18
26792928,6008.73,9815.15
26802912,6008.72,9815.15
26812909,6008.74,9815.16
26822983,6008.72,9815.14
26832904,6008.73,9815.16
26842990,6008.7,9815.17
26852907,6008.71,9815.2
26862890,6008.69,9815.16
26872916,6008.72,9815.18
26882960,6008.73,9815.16
26892952,6008.72,9815.15
26904221,6008.75,9815.14
26912926,6008.73,9815.12
26923070,6008.73,9815.16
26932950,6008.72,9815.13
26942921,6008.72,9815.16
26952920,6008.7,9815.16
26962974,6008.71,9815.15
26972973,6008.75,9815.13
26983013,6008.74,9815.16
26992937,6008.74,9815.17
27002910,6008.74,9815.15
27012963,6008.75,9815.16
27022919,6008.71,9815.15
27032993,6008.75,9815.13
27043019,6008.76,9815.15
27052973,6008.76,9815.15
27062961,6008.75,9815.13
27072951,6008.78,9815.18
27082919,6008.75,9815.17
27092917,6008.77,9815.14
27103077,6008.75,9815.17
27112908,6008.73,9815.12
27122901,6008.76,9815.14
27132902,6008.74,9815.17
27142914,6008.74,9815.17
27152907,6008.73,9815.19
27162945,6008.73,9815.16
27172938,6008.76,9815.16
27182902,6008.73,9815.15
27192972,6008.74,9815.12
27202980,6008.72,9815.15
27212937,6008.74,9815.16
27222924,6008.74,9815.16
27232982,6008.7,9815.16
27242942,6008.73,9815.16
27253095,6008.73,9815.14
27262951,6008.75,9815.16
27272892,6008.73,9815.15
27282988,6008.72,9815.15
27292928,6008.72,9815.16
27302911,6008.73,9815.14
27312980,6008.76,9815.16
