timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L
23972961,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0
23982928,0.0,0.01,-0.0006241424503146274,3.246281652446076e-09,-1.0402374172051161e-05,-0.0006241424503230697,-0.0012482849006461394,0.0
23992902,0.0,0.01,-0.0006241424503146274,3.246281652446076e-09,-1.0402374172051161e-05,0.0,0.0,0.0
24002946,0.0,0.02,-6.753809751042228e-14,-6.492563304540874e-09,-2.0804748344102323e-05,0.0006241424503230697,0.0,0.0012482849006461394
24012902,0.0,0.0,-0.0012482849006461394,6.492563305067791e-09,0.0,-0.0012482849006461394,0.0,-0.0024965698012922788
24022930,0.01,0.0,-0.0006241424503315119,9.738844957513867e-09,1.0402374172051161e-05,0.0006241424503230697,0.0012482849006461394,0.0
24033101,0.0,0.02,-1.6884497272551258e-14,6.49256330506779e-09,-2.0804748344102326e-05,0.0006241424503230697,-0.0012482849006461394,0.0024965698012922788
24042927,0.0,0.02,-1.6884497272551258e-14,6.49256330506779e-09,-2.0804748344102326e-05,0.0,0.0,0.0
24052962,0.01,0.02,0.0006241424502302048,-3.2462816519191593e-09,-1.0402374172051165e-05,0.0006241424503230697,0.0012482849006461394,0.0
24063039,0.0,0.03,0.0006241424502302047,-3.2462816519191572e-09,-3.120712251615349e-05,-1.0842021724855044e-19,-0.0012482849006461394,0.0012482849006461392
24072897,0.0,-0.03,-0.0031207122517082136,-3.2462816519191572e-09,3.120712251615349e-05,-0.003744854701938418,0.0,-0.007489709403876836
24082919,0.01,-0.02,-0.001872427351669917,3.570909817128639e-08,3.120712251615349e-05,0.0012482849006461394,0.0012482849006461394,0.0012482849006461392
24092932,0.0,-0.01,-0.001872427351669917,3.570909817128639e-08,1.0402374172051165e-05,0.0,-0.0012482849006461394,0.0012482849006461394
24102916,0.0,-0.01,-0.001872427351669917,3.570909817128639e-08,1.0402374172051165e-05,0.0,0.0,0.0
24112958,0.0,0.0,-0.0012482849013552896,3.8955379823732466e-08,3.3881317890172014e-21,0.0006241424503230697,0.0,0.0012482849006461394
24122976,0.0,0.04,0.0012482848993966844,-1.2985126611891956e-08,-4.1609496688204645e-05,0.0024965698012922788,0.0,0.0049931396025845575
24132949,0.01,0.01,-9.79302576531449e-13,1.2985126605920258e-08,0.0,-0.0012482849006461394,0.0012482849006461394,-0.003744854701938418
24143006,0.0,0.0,-0.001248284901625442,1.2985126605920258e-08,0.0,-0.0012482849006461394,-0.0012482849006461394,-0.0012482849006461394
24152902,0.0,0.05,0.0018724273489346245,-6.817191469644972e-08,-5.2011870860255816e-05,0.003120712251615349,0.0,0.006241424503230698
24162973,2.59,1.37,0.24591208023891706,0.0001484394656745424,0.0012690896489902415,0.24403969807632026,0.3233057892673501,0.1647736068852904
24173247,2.94,1.93,0.3027090050142363,0.00021431624447740543,0.0010506397913771673,0.05679696297939934,0.04368997152261489,0.06990395443618379
24182948,3.03,2.11,0.3195608426823857,0.00023123261532734984,0.0009570184238287067,0.016851846158722872,0.011234564105815237,0.022469128211630503
24192951,8.38,4.88,0.8263631731027401,0.0013963350592497783,0.003640830960217909,0.5068036696623327,0.6678324218456848,0.3457749174789806
24202966,12.53,9.36,1.3649948664205342,0.00326495920207618,0.003297552612540219,0.5386349346288091,0.5180382337681476,0.5592316354894704
24212936,12.61,15.32,1.741976895625921,0.00335515389064765,-0.0028190434006258648,0.3769820399951342,0.009986279205169124,0.7439778007850992
24222919,38.53,23.1,3.8452909210692496,0.017270693158360415,0.016050863347474947,2.1033600575887452,3.235554462474794,0.9711656527026965
24232909,74.97,30.59,6.585822128343288,0.10255147126779231,0.046165736575563054,2.7418577842692446,4.548750177954531,0.9349653905839583
24242967,133.84,118.75,15.758198965965219,0.38635699143750213,0.0156971826256252,9.176766447100094,7.348653210103824,11.004879684096366
24252945,190.31,131.96,20.104051222571744,0.552438542701104,0.06069785329391851,4.34902459385115,7.049064833948749,1.6489843537535513
24262969,241.33,145.16,24.09935611439368,0.8742293026631105,0.10003963241261603,4.008242815974754,6.368749563096604,1.6477360688529024
24272910,282.06,158.64,27.46078830464976,1.259826220803215,0.12838610203145545,3.3834762232013595,5.084264400331724,1.6826880460709948
24283003,334.2,180.3,32.01912694993988,1.9219158572788273,0.16009253850786737,4.606171283384255,6.508557471968969,2.7037850947995414
24292915,365.7,202.04,35.29683821041319,2.468269182843107,0.17024525569978932,3.322934405520022,3.932097437035339,2.713771374004705
24302947,406.74,223.7,39.14675770376406,3.1701305735177328,0.19040505684522452,3.913373163525648,5.122961232251759,2.7037850947995374
24313050,441.53,244.18,42.529097034589086,3.8481899458437345,0.20529085428542967,3.449635322935605,4.342783169347915,2.5564874765232957
24323015,481.48,268.04,46.421190435222506,4.692662375290932,0.22202827432826003,3.9826529755115114,4.986898178081333,2.9784077729416905
24332945,515.85,294.92,50.14691438269019,5.549012351315564,0.22981965258312637,3.8228725082288024,4.290355203520782,3.3553898129368225
24342914,557.56,322.24,54.334626344460176,6.561857796248156,0.2447886690167079,4.308455334580145,5.206596320595038,3.4103143485652523
24352943,601.23,351.74,58.75705494870008,7.701264214231274,0.25952883321850445,4.566850309013906,5.4512601611216995,3.6824404569061113
24362930,649.83,378.19,63.27022636049192,8.955421794287213,0.2825700920095978,4.684189089674639,6.0666646171402405,3.301713562209037
24372960,691.44,480.96,71.99975734959611,11.19150196219691,0.21894917157333293,9.011368697764482,5.194113471588588,12.828623923940373
