timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L
24242974,-0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
24252948,0.01,0.01,0.0006241424503146274,3.246281652446076e-09,1.0402374172051161e-05,0.0006241424503230697,0.0012482849006461394,0.0
24263011,0.0,0.01,0.0,0.0,0.0,-0.0006241424503230697,-0.0012482849006461394,0.0
24272916,0.01,0.0,0.0,0.0,2.0804748344102323e-05,0.0,0.0012482849006461394,-0.0012482849006461394
24282954,-0.01,-0.01,-0.0018724273507412681,-2.921653487096085e-08,1.0402374172051161e-05,-0.001872427350969209,-0.0024965698012922788,-0.0012482849006461394
24292963,0.0,0.02,0.0006241424505510106,-2.921653487096085e-08,-1.0402374172051161e-05,0.0024965698012922788,0.0012482849006461394,0.003744854701938418
24303000,0.04,-0.0,0.0018724273509269976,-3.2462816531486326e-09,5.2011870860255816e-05,0.0012482849006461394,0.0049931396025845575,-0.0024965698012922788
24312891,0.01,0.02,0.0012482849008149844,-1.9477689913622625e-08,6.776263578034403e-21,-0.0006241424503230697,-0.003744854701938418,0.0024965698012922788
24323036,0.02,0.03,0.0024965698014611237,-1.9477689913622615e-08,8.583267198843576e-21,0.0012482849006461394,0.0012482849006461394,0.0012482849006461392
24332939,0.0,0.0,-0.0006241424501120135,-3.5709098175853024e-08,1.040237417205117e-05,-0.0031207122516153487,-0.0024965698012922788,-0.003744854701938418
24342890,0.03,0.0,0.001248284900224026,1.2985126605568968e-08,4.160949668820466e-05,0.001872427350969209,0.003744854701938418,0.0
24352959,0.01,0.0,1.8572968683849833e-13,-2.5970253217636584e-08,2.080474834410234e-05,-0.0012482849006461392,-0.0024965698012922783,0.0
24362914,0.01,0.01,0.000624142450432819,-1.6231408260649626e-08,1.0402374172051178e-05,0.0006241424503230697,0.0,0.0012482849006461394
24372957,0.02,-0.0,0.000624142450432819,-1.6231408260649626e-08,3.12071225161535e-05,0.0,0.0012482849006461394,-0.0012482849006461394
24382952,0.01,0.01,0.000624142450432819,-1.6231408260649626e-08,1.0402374172051178e-05,0.0,-0.0012482849006461394,0.0012482849006461394
24392904,0.01,0.0,1.8572968683849833e-13,-2.5970253217636584e-08,2.080474834410234e-05,-0.0006241424503230697,0.0,-0.0012482849006461394
24402906,0.02,-0.01,1.8572968683849833e-13,-2.5970253217636584e-08,4.160949668820466e-05,0.0,0.0012482849006461394,-0.0012482849006461394
24412914,0.03,-0.0,0.00124828489975126,2.597025320674697e-08,4.160949668820466e-05,0.0012482849006461394,0.0012482849006461392,0.0012482849006461394
24422937,4.23,-0.82,0.21220769091830566,0.0005596193452579246,0.005263601331057889,0.21096014820919762,0.5242796582713787,-0.10235936185298343
24433039,10.97,-7.71,0.2028462684486431,0.00044397350254924534,0.019442037327563624,-0.00936213675484604,0.841344023035498,-0.8600682965451901
24442972,18.23,-20.43,-0.1377838611814998,-0.009721405031933993,0.040225980923321844,-0.34078177787639596,0.9062548378690971,-1.587818393621889
24452905,26.6,-19.96,0.41341590588592814,0.014732015699201281,0.04844385651924227,0.5517419260855937,1.044814461840819,0.05866939033036841
24462917,33.77,-12.52,1.3242244331262165,0.058761435380004653,0.048162992416596884,0.911872119922005,0.8950202737632821,0.9287239660807278
24472894,38.78,-5.24,2.090449067469067,0.09478695934697381,0.045801653479541266,0.7670710714470526,0.6253907352237156,0.9087514076703894
24482944,46.2,9.7,3.4848072797158505,0.15323131802854292,0.03797906810215879,1.395582518922384,0.9262273962794357,1.8649376415653325
24493015,55.36,29.62,5.298861971428069,0.21199565095448517,0.026786113493031737,1.8150062455394866,1.1434289689918633,2.48658352208711
24502922,67.7,52.17,7.4759928314682655,0.2587582526650632,0.016165289463367497,2.1776330091771907,1.5403835673973363,2.814882450957045
24513009,87.12,74.14,10.059034020201988,0.29709078024768454,0.013512684049494452,2.5833256018871857,2.424169277054803,2.7424819267195684
24522956,108.26,100.01,12.99294846911455,0.329519256356396,0.008592361066114246,2.9340936589687514,2.638874279965939,3.2293130379715635
24532896,134.86,126.69,16.318257875147758,0.3579538439838712,0.00850914207273785,3.325430975321316,3.320437835718732,3.3304241149238996
24542967,166.19,150.94,19.786983811584683,0.4002451978521021,0.01587402298655006,3.4689837388956204,3.910876593724353,3.027090884066888
24552999,196.33,175.37,23.192324467900093,0.46442269591106655,0.021813778638791283,3.405945351412993,3.7623306905474663,3.049560012278519
24562912,226.99,278.85,31.56349144953301,0.3299595961954162,-0.05393631008208532,8.372246828633658,3.827241505381063,12.917252151886254
24572909,262.35,303.98,35.33446845010308,0.14648711360146438,-0.04329468130407696,3.7754376820042497,4.413935408684751,3.136939955323748
24582904,293.26,334.19,39.14571227708907,-0.017232456536404067,-0.04256651511203339,3.8147586563745985,3.858448627897213,3.7710686848519845
24592903,325.14,363.92,42.98775131819025,-0.17656954448737913,-0.04033000466504241,3.845341636440433,3.979532263259892,3.7111510096209748
24602904,362.78,389.58,46.93627636086113,-0.31126243930698794,-0.0278679604069251,3.950821710545028,4.698544366032067,3.203099055057989
24612927,398.78,417.73,50.93901768214676,-0.40648571337776757,-0.019702096681864976,4.003873818822495,4.493825642326102,3.513921995318887
24623063,437.45,448.71,55.285633932181575,-0.4747435601100147,-0.011702670943557572,4.347152166500179,4.827117710798624,3.8671866222017353
24632973,472.06,479.01,59.33676126276694,-0.5130722545463308,-0.007219247675403524,4.051308645047047,4.32031404113629,3.782303248957804
24642903,517.65,508.13,63.9997252781905,-0.5067907371577614,0.009913462585964716,4.662968246363652,5.690930862045747,3.635005630681558
