timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L,x_kalman,y_kalman,theta_kalman
22742907,-0.02,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22752947,-0.02,-0.01,0.0006241424503146274,-3.246281652446076e-09,-1.0402374172051161e-05,0.0006241424503230697,0.0,0.0012482849006461394,0.0006241424503230697,-1.8851699684677307e-10,-6.173730716477058e-07
22762924,-0.02,-0.0,0.0012482849005617169,-1.2985126609433026e-08,-2.0804748344102323e-05,0.0006241424503230697,0.0,0.0012482849006461394,0.0012482849006465815,7.791855306902477e-10,1.6871137790685517e-06
22772920,0.01,-0.01,0.0024965698012078563,-1.2985126609433026e-08,2.0804748344102323e-05,0.0012482849006461394,0.003744854701938418,-0.0012482849006461394,0.002496569801287266,6.510186167927605e-09,4.538380090584063e-06
22782952,-0.02,-0.01,0.000624142450263974,-2.272397156677125e-08,-1.0402374172051165e-05,-0.001872427350969209,-0.003744854701938418,0.0,0.0006241424503404164,-2.244166313843238e-09,5.129228871154126e-06
22792953,-0.01,-0.01,0.0012482849005786014,-2.597025321921733e-08,-3.3881317890172014e-21,0.0006241424503230697,0.0012482849006461394,0.0,0.0012482849006523287,6.781519608398749e-10,3.137603255147289e-06
22802936,-0.03,-0.02,-0.0006241424503652807,-1.62314082618791e-08,-1.0402374172051161e-05,-0.0018724273509692088,-0.0024965698012922783,-0.0012482849006461394,-0.0006241424502940354,-8.406754911236418e-09,5.621995167025537e-06
22812913,0.01,-0.02,0.0018724273507919216,9.738844957338228e-09,3.120712251615349e-05,0.0024965698012922788,0.0049931396025845575,0.0,0.0018724273509250337,1.0384245142376393e-08,1.0885117516352811e-05
22822915,0.0,0.0,0.002496569801039011,1.9477689914325176e-08,0.0,0.0006241424503230697,-0.0012482849006461394,0.0024965698012922788,0.002496569801172721,2.1620464866529574e-08,1.4750506358745918e-05
22832912,0.0,-0.02,0.0012482849004604097,6.4925633047165115e-09,2.0804748344102323e-05,-0.0012482849006461394,0.0,-0.0024965698012922788,0.001248284900691092,2.8722526243964993e-09,1.9246047254387105e-05
22842962,-0.03,0.01,0.0012482849004604097,6.4925633047165115e-09,-4.160949668820465e-05,0.0,-0.003744854701938418,0.003744854701938418,0.0012482849007091497,2.6613156931071465e-09,2.2996417097751246e-05
22852904,-0.02,-0.0,0.0012482849004604097,6.492563304716515e-09,-2.080474834410233e-05,-1.0842021724855044e-19,0.0012482849006461392,-0.0012482849006461394,0.0012482849007112453,2.6368376795803044e-09,2.3573517067860153e-05
22863039,-0.02,-0.01,0.0006241424502133203,1.6231408261703468e-08,-1.0402374172051168e-05,-0.0006241424503230697,0.0,-0.0012482849006461394,0.0006241424506180139,-1.4126358230775237e-08,2.765134691844978e-05
22872931,-0.01,0.0,0.0018724273507919214,3.2462816520947946e-09,-1.0402374172051168e-05,0.0012482849006461394,0.0012482849006461394,0.0012482849006461394,0.0018724273507751152,2.08165337841938e-08,2.8409197274747595e-05
22882918,-0.01,0.0,0.0018724273507919214,3.2462816520947946e-09,-1.0402374172051168e-05,0.0,0.0,0.0,0.0018724273507070308,2.327097687441968e-08,3.419743518719842e-05
22893229,-0.0,-0.01,0.0018724273507919214,3.2462816520947946e-09,1.0402374172051154e-05,0.0,0.0012482849006461394,-0.0012482849006461394,0.0018724273506415237,2.56325056993635e-08,4.1582800177091216e-05
22902912,0.0,0.01,0.003120712251438061,3.2462816520947863e-09,-1.0402374172051168e-05,0.0012482849006461394,0.0,0.0024965698012922788,0.003120712249812477,8.775550940945305e-08,5.0223112925505085e-05
22912926,0.01,0.07,0.007489709400803854,-1.5582151928333774e-07,-6.241424503230697e-05,0.0043689971522614885,0.0012482849006461394,0.007489709403876837,0.007489709395506347,3.293125904365206e-07,5.551086006499114e-05
22922941,-3.84,1.92,-0.11733820874509221,0.00037771078574365494,-0.0059917675231014695,-0.12482849006461391,-0.4805896867487636,0.2309327066195358,-0.11733878042420483,-7.54260118964686e-06,6.587384401121667e-05
22933089,-12.02,7.14,-0.3020688558750477,0.0027722049677347113,-0.019930948913650028,-0.1847461652956286,-1.021097048728542,0.6516047181372848,-0.302084960437383,0.00022201305726722218,-0.001097243392245877
22943029,-21.16,14.67,-0.4025146922163038,0.005645872888302452,-0.037271706658459317,-0.10048693450201424,-1.1409323991905715,0.9399585301865431,-0.40257157979512187,0.0011394211876846862,-0.00457101612294476
22952924,-23.42,21.08,-0.14372162253080917,-0.005173091672326307,-0.046290565065627676,0.2590191168840737,-0.28211238754602774,0.8001506213141751,-0.14356031281231438,-0.00016800995465406844,-0.010715557050361924
22962979,-18.26,25.57,0.4579403266556567,-0.03283416031889348,-0.045593605996100246,0.6022974645617625,0.644115008733408,0.5604799203901168,0.458664736471007,-0.009851134069103082,-0.017604498120592497
22973053,-13.67,30.44,1.0477615703602003,-0.05983096438991875,-0.04588487247291768,0.5904387580056242,0.5729627693965783,0.60791474661467,1.0489406886620571,-0.02499845258657305,-0.023574719280116393
22983249,0.17,36.22,2.271264889917643,-0.11087171827262782,-0.03750055889024444,1.2245674875338626,1.727626302494257,0.7215086725734683,2.2730171181029926,-0.061325494323699,-0.02851991073297345
22994682,17.85,42.07,3.739150557107747,-0.15690142263541978,-0.025194550244707917,1.468607185610183,2.2069677043423743,0.7302466668779917,3.7408761731482807,-0.10940287812157526,-0.03135158982496702
