timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,theta_ins,ax_global_ms2,ay_global_ms2,vx_ins_ms,vy_ins_ms,v_ins_ms,x_ins,y_ins
25582,-33,19,14,-97,22,-83,0.0,-0.25190839694656486,0.1450381679389313,0.10687022900763359,-0.05805939025878906,0.013168109130859374,-0.04967968444824218,0.0,0.05805939025878906,-0.013168109130859374,0.0,0.0,0.0,0.0,0.0
25592,-23,-1,-15,-93,26,-51,10.0,-0.17557251908396945,-0.007633587786259542,-0.11450381679389313,-0.05566518859863281,0.015562310791015624,-0.030526071166992186,-6.661562030513735e-07,0.055665178231690586,-0.01556234787272285,0.0005686228424524872,-0.0001436522850179336,0.0005864877798808937,0.0028431142122628803,-0.0007182614250897803
25602,4,-17,-7,-177,18,-327,10.0,0.030534351145038167,-0.1297709923664122,-0.05343511450381679,-0.10594342346191406,0.010773907470703125,-0.19572598571777342,-1.5321592670176416e-05,0.10594325837605717,-0.010775530691418836,0.0013766650254910652,-0.0002753416778386158,0.0014039300666220163,0.012569553551978706,-0.002813231239372111
25612,-38,-13,4,-161,74,-123,10.0,-0.2900763358778626,-0.09923664122137404,0.030534351145038167,-0.09636661682128905,0.044292730712890624,-0.07362170104980469,-1.732006127933054e-05,0.09636584965402467,-0.0442943997819556,0.0023882105656416325,-0.0005506913302055311,0.002450879565993781,0.031393931507645134,-0.006943396279593491
25622,12,-17,-20,-105,74,-59,10.0,0.0916030534351145,-0.1297709923664122,-0.15267175572519084,-0.06284779357910156,0.044292730712890624,-0.03531447448730469,-2.7978560528148757e-05,0.0628465543076559,-0.04429448908635093,0.003184272585449877,-0.0009936357745469757,0.0033357014181289086,0.05925634726309714,-0.014665031803354487
25632,-50,-14,7,-173,6,-123,10.0,-0.3816793893129771,-0.10687022900763359,0.05343511450381679,-0.10354922180175781,0.003591302490234375,-0.07362170104980469,-3.6638591167816635e-05,0.10354909015199261,-0.0035950963854264086,0.004016250807748249,-0.0012330837019058998,0.004201281467200743,0.09525896422909341,-0.02579862918562061
25642,-26,-15,-13,-177,-18,-95,10.0,-0.1984732824427481,-0.11450381679389313,-0.09923664122137404,-0.10594342346191406,-0.010773907470703125,-0.05686228942871093,-4.063552838612346e-05,0.10594386117786746,0.010769602394817713,0.005063715564397341,-0.0011972111718589504,0.005203319124092214,0.14065879608981233,-0.03795010355444244
25652,5,7,17,-169,-26,-107,10.0,0.03816793893129771,0.05343511450381679,0.1297709923664122,-0.10115502014160156,-0.015562310791015624,-0.06404489440917968,-3.797090357391796e-05,0.10115561098368173,0.015558469832281945,0.006099212925205249,-0.0010655708107234316,0.006191594258319626,0.19647343853783403,-0.049264013467356114
25662,19,45,-26,-109,-18,25,10.0,0.1450381679389313,0.3435114503816794,-0.1984732824427481,-0.0652419952392578,-0.010773907470703125,0.014963760375976562,-4.396630940137821e-05,0.0652424688651494,0.01077103901054222,0.006931203324449239,-0.000933923266509337,0.006993839588708312,0.2616255197860935,-0.05926148385351797
25672,278,17,12,-149,38,-51,10.0,2.122137404580153,0.1297709923664122,0.0916030534351145,-0.08918401184082031,0.022744915771484374,-0.030526071166992186,-5.3292496244097454e-05,0.08918279958083725,-0.02274966857779938,0.007703329666679293,-0.000993816414345632,0.007767171880354143,0.3347981847417476,-0.06890018225779433
25682,-21,12,0,-213,30,5,10.0,-0.16030534351145037,0.0916030534351145,0.0,-0.1274912384033203,0.017956512451171875,0.002992752075195312,-4.529862180748095e-05,0.1274904248672503,-0.01796228761013903,0.008786695788919899,-0.0011973761952853558,0.008867904636387263,0.41724831201975643,-0.07985614530595098
25696,-21,-27,-20,-201,54,-7,14.0,-0.16030534351145037,-0.20610687022900764,-0.15267175572519084,-0.12030863342285156,0.03232172241210937,-0.004189852905273437,-6.395099549291566e-05,0.12030656617051376,-0.032329416202884355,0.010521274726184165,-0.001549418121976503,0.010634750508618004,0.5524041056254786,-0.09908370552678308
25702,13,-43,13,-165,66,-83,6.0,0.09923664122137404,-0.3282442748091603,0.09923664122137404,-0.0987608184814453,0.03950432739257812,-0.04967968444824218,-6.674885154573111e-05,0.0987581813929528,-0.03951091947578061,0.01117846896887459,-0.001764939129012506,0.011316942105410436,0.6175033367106574,-0.10902677727975049
25712,-22,-27,-13,-221,50,169,10.0,-0.16793893129770993,-0.20610687022900764,-0.09923664122137404,-0.1322796417236328,0.029927520751953124,0.10115502014160156,-6.674885154573111e-05,0.1322776438013145,-0.029936350199444826,0.012333648094845696,-0.002112175477388564,0.012513199453967498,0.7350639220292354,-0.128412350311752
25722,-18,3,23,-141,-6,-127,10.0,-0.13740458015267176,0.022900763358778626,0.17557251908396945,-0.08439560852050781,-0.003591302490234375,-0.07601590270996093,-6.0087289515217365e-05,0.08439582415978572,0.0035862313803912745,0.013417015434651366,-0.0022439260714838525,0.013603363826199678,0.8638172396767408,-0.15019285805611748
25732,20,-7,10,-153,66,173,10.0,0.15267175572519084,-0.05343511450381679,0.07633587786259542,-0.09157821350097656,0.03950432739257812,0.10354922180175781,-3.81041348145298e-05,0.09157670815627784,-0.03950781687249193,0.01429687809623151,-0.00242353399894432,0.014500835849789603,1.0023867073311274,-0.1735301584082537
