timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2
23793,-10,18,30,96,-265,-66,0.0,-0.07633587786259542,0.13740458015267176,0.22900763358778625,0.05746083984375,-0.15861585998535155,-0.03950432739257812
23802,5,7,-277,-128,-1,-226,9.0,0.03816793893129771,0.05343511450381679,-2.114503816793893,-0.076614453125,-0.0005985504150390625,-0.1352723937988281
23812,11,21,12,-104,19,-82,10.0,0.08396946564885496,0.16030534351145037,0.0916030534351145,-0.062249243164062495,0.011372457885742187,-0.04908113403320312
23822,1,-50,11,-120,-277,-86,10.0,0.007633587786259542,-0.3816793893129771,0.08396946564885496,-0.0718260498046875,-0.1657984649658203,-0.051475335693359374
23832,-8,-9,22,-88,-5,-134,10.0,-0.061068702290076333,-0.06870229007633588,0.16793893129770993,-0.0526724365234375,-0.002992752075195312,-0.08020575561523437
23842,-9,-49,4,-60,-257,-22,10.0,-0.06870229007633588,-0.37404580152671757,0.030534351145038167,-0.03591302490234375,-0.15382745666503905,-0.013168109130859374
23852,2,14,13,-68,-1,-58,10.0,0.015267175572519083,0.10687022900763359,0.09923664122137404,-0.040701428222656245,-0.0005985504150390625,-0.034715924072265626
23862,-10,7,-15,-120,-5,-14,10.0,-0.07633587786259542,0.05343511450381679,-0.11450381679389313,-0.0718260498046875,-0.002992752075195312,-0.008379705810546874
23872,0,-26,28,-316,-253,-18,10.0,0.0,-0.1984732824427481,0.21374045801526717,-0.18914193115234373,-0.1514332550048828,-0.010773907470703125
23882,-12,-22,-32,-20,39,-186,10.0,-0.0916030534351145,-0.16793893129770993,-0.24427480916030533,-0.011971008300781249,0.023343466186523436,-0.11133037719726561
23892,-12,-22,-32,-20,39,-186,10.0,-0.0916030534351145,-0.16793893129770993,-0.24427480916030533,-0.011971008300781249,0.023343466186523436,-0.11133037719726561
23902,10,33,-22,-80,-29,38,10.0,0.07633587786259542,0.25190839694656486,-0.16793893129770993,-0.047884033203124995,-0.017357962036132813,0.022744915771484374
23912,1,18,-4,-56,-21,-50,10.0,0.007633587786259542,0.13740458015267176,-0.030534351145038167,-0.033518823242187495,-0.012569558715820313,-0.029927520751953124
23922,-8,24,16,-84,-269,-86,10.0,-0.061068702290076333,0.183206106870229,0.12213740458015267,-0.05027823486328125,-0.1610100616455078,-0.051475335693359374
23932,13,-13,24,-80,11,-30,10.0,0.09923664122137404,-0.09923664122137404,0.183206106870229,-0.047884033203124995,0.006584054565429687,-0.017956512451171875
23942,-5,2,-2,-32,-13,-78,10.0,-0.03816793893129771,0.015267175572519083,-0.015267175572519083,-0.01915361328125,-0.007781155395507812,-0.04668693237304687
23952,-19,-2,27,-108,-9,-50,10.0,-0.1450381679389313,-0.015267175572519083,0.20610687022900764,-0.06464344482421874,-0.0053869537353515625,-0.029927520751953124
23962,-16,-13,222,-64,7,194,10.0,-0.12213740458015267,-0.09923664122137404,1.6946564885496183,-0.0383072265625,0.004189852905273437,0.11611878051757812
23972,-305,31,390,-324,-1481,422,10.0,-2.3282442748091605,0.2366412213740458,2.9770992366412212,-0.19393033447265623,-0.8864531646728515,0.25258827514648435
23982,1198,1157,5283,-620,4587,194,10.0,9.145038167938932,8.83206106870229,40.32824427480916,-0.3711012573242187,2.7455507537841797,0.11611878051757812
23992,-2479,-2598,926,-2240,-689,-190,10.0,-18.923664122137403,-19.83206106870229,7.068702290076335,-1.3407529296874998,-0.412401235961914,-0.11372457885742186
24002,776,528,-392,1728,-1021,-674,10.0,5.923664122137405,4.030534351145038,-2.9923664122137406,1.0342951171875,-0.6111199737548828,-0.4034229797363281
24017,1265,676,1356,-196,-1065,794,15.0,9.65648854961832,5.1603053435114505,10.351145038167939,-0.11731588134765625,-0.6374561920166015,0.4752490295410156
24022,1265,676,1356,-196,-1065,794,5.0,9.65648854961832,5.1603053435114505,10.351145038167939,-0.11731588134765625,-0.6374561920166015,0.4752490295410156
24032,-644,76,-8519,-1376,-1789,-2654,10.0,-4.916030534351145,0.5801526717557252,-65.03053435114504,-0.82360537109375,-1.0708066925048827,-1.5885528015136718
24042,1269,630,-3066,-5028,-237,-1838,10.0,9.687022900763358,4.809160305343512,-23.404580152671755,-3.009511486816406,-0.14185644836425781,-1.1001356628417969
24052,-2596,-981,-5319,-4628,2771,802,10.0,-19.81679389312977,-7.488549618320611,-40.603053435114504,-2.770091320800781,1.6585832000732421,0.4800374328613281
24062,2669,401,-3976,-6504,595,2986,10.0,20.374045801526716,3.0610687022900764,-30.35114503816794,-3.892971899414062,0.35613749694824215,1.7872715393066405
24072,-6,-1265,-1612,-10192,323,-894,10.0,-0.04580152671755725,-9.65648854961832,-12.305343511450381,-6.100425830078125,0.19333178405761717,-0.5351040710449219
24082,-1542,-1574,-3289,-2160,1039,-2030,10.0,-11.770992366412214,-12.01526717557252,-25.106870229007633,-1.2928688964843749,0.6218938812255859,-1.2150573425292968
24092,704,1036,-1473,-7904,2179,1646,10.0,5.374045801526718,7.908396946564886,-11.244274809160306,-4.73094248046875,1.304241354370117,0.9852139831542969
24103,2219,998,-2384,-3516,-1981,-2198,11.0,16.938931297709924,7.6183206106870225,-18.198473282442748,-2.104503259277344,-1.1857283721923828,-1.3156138122558594
24112,2219,998,-2384,-3516,-1981,-2198,9.0,16.938931297709924,7.6183206106870225,-18.198473282442748,-2.104503259277344,-1.1857283721923828,-1.3156138122558594
