timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L,x_kalman,y_kalman,theta_kalman
23972961,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23982928,0.0,0.01,-0.0006241424503172876,2.6865779192695345e-09,-8.608861383766478e-06,-0.0006241424503230697,-0.0012482849006461394,0.0,-0.0006241424503230697,2.3150061827919004e-10,-7.581398504429499e-07
23992902,0.0,0.01,-0.0006241424503172876,2.6865779192695345e-09,-8.608861383766478e-06,0.0,0.0,0.0,-0.0006241424503230697,5.808656667375279e-10,-2.569440335381443e-06
24002946,0.0,0.02,-4.6256726747573307e-14,-5.373155838339961e-09,-1.7217722767532955e-05,0.0006241424503230697,0.0,0.0012482849006461394,-4.7667842483044284e-15,-1.7506487978035592e-09,-5.00582191950829e-06
24012902,0.0,0.0,-0.0012482849006461394,5.373155838638623e-09,0.0,-0.0012482849006461394,0.0,-0.0024965698012922788,-0.0012482849006286458,5.721625239020476e-09,-6.7894724241471846e-06
24022930,0.01,0.0,-0.0006241424503288517,8.059733757908157e-09,8.608861383766478e-06,0.0006241424503230697,0.0012482849006461394,0.0,-0.0006241424503196173,1.4435221231399583e-09,-5.901910635693567e-06
24033101,0.0,0.02,-1.156410037173039e-14,5.373155838638622e-09,-1.721772276753296e-05,0.0006241424503230697,-0.0012482849006461394,0.0024965698012922788,1.096823403611833e-14,3.7225471118557845e-10,1.524978576507847e-07
24042927,0.0,0.02,-1.156410037173039e-14,5.373155838638622e-09,-1.721772276753296e-05,0.0,0.0,0.0,4.156110475470069e-14,4.719022605884511e-09,1.3582681592249878e-05
24052962,0.01,0.02,0.0006241424502594668,-2.6865779189708768e-09,-8.608861383766481e-06,0.0006241424503230697,0.0012482849006461394,0.0,0.0006241424501995524,2.963190950153573e-08,3.663252698112856e-05
24063039,0.0,0.03,0.0006241424502594667,-2.6865779189708747e-09,-2.5826584151299435e-05,-1.0842021724855044e-19,-0.0012482849006461394,0.0012482849006461392,0.0006241424500798913,4.792573464688497e-08,7.068618082217492e-05
24072897,0.0,-0.03,-0.0031207122516789514,-2.6865779189708747e-09,2.5826584151299435e-05,-0.003744854701938418,0.0,-0.007489709403876836,-0.0031207122336501586,-3.2550077181874045e-07,0.00011564187544463834
24082919,0.01,-0.02,-0.001872427351449123,2.9552357108779134e-08,2.5826584151299435e-05,0.0012482849006461394,0.0012482849006461394,0.0012482849006461392,-0.001872427339178227,-2.2950155271912843e-07,0.00017044380663207805
24092932,0.0,-0.01,-0.001872427351449123,2.9552357108779134e-08,8.60886138376648e-06,0.0,-0.0012482849006461394,0.0012482849006461394,-0.001872427337344124,-2.703248559162308e-07,0.0002317897026341941
24102916,0.0,-0.01,-0.001872427351449123,2.9552357108779134e-08,8.60886138376648e-06,0.0,0.0,0.0,-0.0018724273359438165,-3.0149277896284824e-07,0.0002938930494908043
24112958,0.0,0.0,-0.0012482849011318353,3.223893502804867e-08,1.6940658945086007e-21,0.0006241424503230697,0.0,0.0012482849006461394,-0.00124828491914178,-1.1307116388538192e-07,0.00034801539355677253
24122976,0.0,0.04,0.0012482848997903897,-1.0746311678272782e-08,-3.443544553506591e-05,0.0024965698012922788,0.0,0.0049931396025845575,0.0012482847056559797,8.219428938735665e-07,0.0003819113213206334
24132949,0.01,0.01,-6.707228088903561e-13,1.0746311674887949e-08,0.0,-0.0012482849006461394,0.0012482849006461394,-0.003744854701938418,-1.0349554556747556e-10,3.440105242156297e-07,0.0003796535447676663
24143006,0.0,0.0,-0.0012482849013168622,1.0746311674887949e-08,0.0,-0.0012482849006461394,-0.0012482849006461394,-0.0012482849006461394,-0.0012482849261653446,-9.80968432143757e-08,0.00032086136508082866
24152902,0.0,0.05,0.0018724273495757252,-5.641813630187272e-08,-4.30443069188324e-05,0.003120712251615349,0.0,0.006241424503230698,0.0018724272475722909,6.354854775461684e-07,0.00018320472831768485
24162973,2.59,1.37,0.24591209447782128,0.00012284645674156115,0.0010502810888195103,0.24403969807632026,0.3233057892673501,0.1647736068852904,0.24591212958715525,-3.377080802673192e-08,-6.150920171900802e-05
24173247,2.94,1.93,0.3027090312912861,0.00017736517408534336,0.0008694949997604144,0.05679696297939934,0.04368997152261489,0.06990395443618379,0.30270910130818296,-7.343402072605905e-05,-0.00044440128625435255
24182948,3.03,2.11,0.31956087163482416,0.00019136493001236857,0.0007920152473065161,0.016851846158722872,0.011234564105815237,0.022469128211630503,0.319560952114838,-0.00016150878996623816,-0.0009805726894687309
24192951,8.38,4.88,0.8263636240516318,0.0011555879098484074,0.0030131014843182693,0.5068036696623327,0.6678324218456848,0.3457749174789806,0.8263641164895797,-0.0010127523894126883,-0.0016964349000822589
24202966,12.53,9.36,1.3649963387092938,0.0027020364537671607,0.002729009058653974,0.5386349346288091,0.5180382337681476,0.5592316354894704,1.3649974079082652,-0.0026276956041015073,-0.002598901706990083
24212936,12.61,15.32,1.7419783713145416,0.002776680334188634,-0.0023330014350007163,0.3769820399951342,0.009986279205169124,0.7439778007850992,1.7419765999213106,-0.0045427937089006195,-0.0036798843400685753
24222919,38.53,23.1,3.8453069014999164,0.014293015166034638,0.01328347311515168,2.1033600575887452,3.235554462474794,0.9711656527026965,3.845314487436934,-0.014838305428661363,-0.004843241477013802
24232909,74.97,30.59,6.586256091516509,0.08487379799847375,0.038206126821155637,2.7418577842692446,4.548750177954531,0.9349653905839583,6.587124321642343,-0.03198451574915053,-0.005944938951354868
