timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2,x_ins,y_ins,theta_ins
22742907,-14,19,-12,-88,4,-67,0.0,-0.10687022900763359,0.1450381679389313,-0.0916030534351145,-0.0526724365234375,0.00239420166015625,-0.040102877807617184,-0.0,0.0,-0.0
22752947,-14,19,-12,-88,4,-67,10040.0,-0.10687022900763359,0.1450381679389313,-0.0916030534351145,-0.0526724365234375,0.00239420166015625,-0.040102877807617184,-0.005309462002869985,0.00024142458398803942,-1.6051699868723423e-05
22762924,-8,-8,43,-176,-16,5,9977.0,-0.061068702290076333,-0.061068702290076333,0.3282442748091603,-0.105344873046875,-0.009576806640625,0.002992752075195312,-0.02107165285665397,-0.0004723771862235168,4.110596789672232e-05
22772920,-16,-3,1,-140,-52,-11,9996.0,-0.12213740458015267,-0.022900763358778626,0.007633587786259542,-0.08379705810546874,-0.031124621582031248,-0.006584054565429687,-0.045236732311501625,-0.004297866321375617,4.243774737786242e-05
22782952,-1,18,-23,-84,8,13,10032.0,-0.007633587786259542,0.13740458015267176,-0.17557251908396945,-0.05027823486328125,0.0047884033203125,0.007781155395507812,-0.07454889954189278,-0.0076552820998045485,1.1696503844414816e-05
22792953,-18,10,-21,-144,40,93,10001.0,-0.13740458015267176,0.07633587786259542,-0.16030534351145037,-0.086191259765625,0.023942016601562498,0.05566518859863281,-0.11239129979283323,-0.008607502175247833,-1.628485453979137e-05
22802936,-65,-23,33,-120,-248,9,9983.0,-0.4961832061068702,-0.17557251908396945,0.25190839694656486,-0.0718260498046875,-0.1484405029296875,0.0053869537353515625,-0.15732338700950557,-0.024351829456079995,2.760671213561014e-05
22812913,14,-7,20,-124,4,37,9977.0,0.10687022900763359,-0.05343511450381679,0.15267175572519084,-0.07422025146484375,0.00239420166015625,0.022146365356445312,-0.2096164050625145,-0.03984877431846677,5.419167388698026e-05
22822915,-30,-22,-7,-196,0,-27,10002.0,-0.22900763358778625,-0.16793893129770993,-0.05343511450381679,-0.11731588134765625,0.0,-0.016160861206054686,-0.27377673826615123,-0.05538507738794479,4.4863621806893925e-05
22832912,-3,-3,6,-92,44,-39,9997.0,-0.022900763358778626,-0.022900763358778626,0.04580152671755725,-0.055066638183593745,0.02633621826171875,-0.023343466186523436,-0.3434084971427495,-0.06828186285343124,5.285509808117819e-05
22842962,0,-49,-2,-108,24,-67,10050.0,0.0,-0.37404580152671757,-0.015267175572519083,-0.06464344482421874,0.0143652099609375,-0.040102877807617184,-0.4199386374198905,-0.07979642729079063,5.0177150144912085e-05
22852904,-21,-6,-17,-132,-44,-43,9942.0,-0.16030534351145037,-0.04580152671755725,-0.1297709923664122,-0.07900865478515624,-0.02633621826171875,-0.025737667846679687,-0.5034557734690214,-0.09379062953631585,2.765920524441059e-05
22863039,-16,-5,21,-120,48,-87,10135.0,-0.12213740458015267,-0.03816793893129771,0.16030534351145037,-0.0718260498046875,0.028730419921875,-0.052073886108398436,-0.5959722033346198,-0.10510577107516314,5.601547633969403e-05
22872931,-19,17,-17,-168,-48,-295,9892.0,-0.1450381679389313,0.1297709923664122,-0.1297709923664122,-0.1005564697265625,-0.028730419921875,-0.17657237243652343,-0.6961099530942337,-0.11896126727560095,3.3610777993711255e-05
22882918,-10,5,30,-192,-12,-23,9987.0,-0.07633587786259542,0.03816793893129771,0.22900763358778625,-0.1149216796875,-0.00718260498046875,-0.013766659545898436,-0.8086716528294247,-0.1336670648198912,7.352818999294949e-05
22893229,13,-23,13,-124,-108,-23,10311.0,0.09923664122137404,-0.17557251908396945,0.09923664122137404,-0.07422025146484375,-0.06464344482421874,-0.013766659545898436,-0.932775324567996,-0.1557233505989484,9.138690517806978e-05
22902912,13,-23,13,-124,-108,-23,9683.0,0.09923664122137404,-0.17557251908396945,0.09923664122137404,-0.07422025146484375,-0.06464344482421874,-0.013766659545898436,-1.0562786308163958,-0.18249803363899292,0.00010815792051484797
22912926,4,3,-13,-140,16,-75,10014.0,0.030534351145038167,0.022900763358778626,-0.09923664122137404,-0.08379705810546874,0.009576806640625,-0.044891281127929686,-1.1924069998410205,-0.20922837137114325,9.081361114972386e-05
22922941,-27,-9,33,-84,24,-467,10015.0,-0.20610687022900764,-0.06870229007633588,0.25190839694656486,-0.05027823486328125,0.0143652099609375,-0.27952304382324217,-1.3335920751852466,-0.23452122463859607,0.0001348458700152098
22933089,-184,-868,-6627,1216,132,393,10148.0,-1.4045801526717556,-6.625954198473282,-50.587786259541986,0.7278373046875,0.07900865478515624,0.23523031311035156,-1.4016291430857089,-0.25267528982931087,-0.008825061113091906
22943029,-14,-584,-14196,-1300,2108,-1731,9940.0,-0.10687022900763359,-4.458015267175573,-108.36641221374046,-0.7781155395507812,1.2617442749023438,-1.036090768432617,-1.5416795218417016,-0.14371638296076836,-0.027625086988621397
22952924,367,231,-18051,880,2632,185,9895.0,2.801526717557252,1.7633587786259541,-137.793893129771,0.5267243652343749,1.5753846923828123,0.11073182678222655,-1.6216636739998578,0.1161421104466552,-0.05142213773313152
22962979,-159,2063,-8908,-1972,-1028,-1611,10055.0,-1.213740458015267,15.748091603053435,-68.0,-1.180341418457031,-0.6153098266601562,-0.9642647186279296,-1.8259765156474694,0.3256731443083107,-0.06335565196071755
22973053,1303,2125,-170,-8976,-4496,-1779,10074.0,9.946564885496183,16.221374045801525,-1.297709923664122,-5.372588525390625,-2.6910826660156246,-1.064821188354492,-2.592166740137845,0.29769125661239315,-0.06358382111876186
