timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2
22742907,-14,19,-12,-88,4,-67,0.0,-0.10687022900763359,0.1450381679389313,-0.0916030534351145,-0.0526724365234375,0.00239420166015625,-0.040102877807617184
22752947,-14,19,-12,-88,4,-67,10040.0,-0.10687022900763359,0.1450381679389313,-0.0916030534351145,-0.0526724365234375,0.00239420166015625,-0.040102877807617184
22762924,-8,-8,43,-176,-16,5,9977.0,-0.061068702290076333,-0.061068702290076333,0.3282442748091603,-0.105344873046875,-0.009576806640625,0.002992752075195312
22772920,-16,-3,1,-140,-52,-11,9996.0,-0.12213740458015267,-0.022900763358778626,0.007633587786259542,-0.08379705810546874,-0.031124621582031248,-0.006584054565429687
22782952,-1,18,-23,-84,8,13,10032.0,-0.007633587786259542,0.13740458015267176,-0.17557251908396945,-0.05027823486328125,0.0047884033203125,0.007781155395507812
22792953,-18,10,-21,-144,40,93,10001.0,-0.13740458015267176,0.07633587786259542,-0.16030534351145037,-0.086191259765625,0.023942016601562498,0.05566518859863281
22802936,-65,-23,33,-120,-248,9,9983.0,-0.4961832061068702,-0.17557251908396945,0.25190839694656486,-0.0718260498046875,-0.1484405029296875,0.0053869537353515625
22812913,14,-7,20,-124,4,37,9977.0,0.10687022900763359,-0.05343511450381679,0.15267175572519084,-0.07422025146484375,0.00239420166015625,0.022146365356445312
22822915,-30,-22,-7,-196,0,-27,10002.0,-0.22900763358778625,-0.16793893129770993,-0.05343511450381679,-0.11731588134765625,0.0,-0.016160861206054686
22832912,-3,-3,6,-92,44,-39,9997.0,-0.022900763358778626,-0.022900763358778626,0.04580152671755725,-0.055066638183593745,0.02633621826171875,-0.023343466186523436
22842962,0,-49,-2,-108,24,-67,10050.0,0.0,-0.37404580152671757,-0.015267175572519083,-0.06464344482421874,0.0143652099609375,-0.040102877807617184
22852904,-21,-6,-17,-132,-44,-43,9942.0,-0.16030534351145037,-0.04580152671755725,-0.1297709923664122,-0.07900865478515624,-0.02633621826171875,-0.025737667846679687
22863039,-16,-5,21,-120,48,-87,10135.0,-0.12213740458015267,-0.03816793893129771,0.16030534351145037,-0.0718260498046875,0.028730419921875,-0.052073886108398436
22872931,-19,17,-17,-168,-48,-295,9892.0,-0.1450381679389313,0.1297709923664122,-0.1297709923664122,-0.1005564697265625,-0.028730419921875,-0.17657237243652343
22882918,-10,5,30,-192,-12,-23,9987.0,-0.07633587786259542,0.03816793893129771,0.22900763358778625,-0.1149216796875,-0.00718260498046875,-0.013766659545898436
