timestamp,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,dt,gyro_x_dps,gyro_y_dps,gyro_z_dps,accel_x_ms2,accel_y_ms2,accel_z_ms2
23972961,2,-15,-19,-108,-25,100,0.0,0.015267175572519083,-0.11450381679389313,-0.1450381679389313,-0.06464344482421874,-0.014963760375976562,0.05985504150390625
23982928,2,-15,-19,-108,-25,100,9967.0,0.015267175572519083,-0.11450381679389313,-0.1450381679389313,-0.06464344482421874,-0.014963760375976562,0.05985504150390625
23992902,-35,18,-274,-68,-9,-24,9974.0,-0.26717557251908397,0.13740458015267176,-2.0916030534351147,-0.040701428222656245,-0.0053869537353515625,-0.0143652099609375
24002946,-8,-13,-9,-136,-45,-40,10044.0,-0.061068702290076333,-0.09923664122137404,-0.06870229007633588,-0.08140285644531249,-0.02693476867675781,-0.023942016601562498
24012902,-27,11,0,-116,187,-84,9956.0,-0.20610687022900764,0.08396946564885496,0.0,-0.06943184814453125,0.11192892761230468,-0.05027823486328125
24022930,2,6,28,-80,-53,-32,10028.0,0.015267175572519083,0.04580152671755725,0.21374045801526717,-0.047884033203124995,-0.03172317199707031,-0.01915361328125
24033101,-20,-16,27,-292,159,44,10171.0,-0.15267175572519084,-0.12213740458015267,0.20610687022900764,-0.17477672119140625,0.09516951599121093,0.02633621826171875
24042927,11,12,11,-88,19,-268,9826.0,0.08396946564885496,0.0916030534351145,0.08396946564885496,-0.0526724365234375,0.011372457885742187,-0.16041151123046873
24052962,-13,-21,10,-72,-25,88,10035.0,-0.09923664122137404,-0.16030534351145037,0.07633587786259542,-0.0430956298828125,-0.014963760375976562,0.0526724365234375
24063039,-23,-10,36,-128,-29,-8,10077.0,-0.17557251908396945,-0.07633587786259542,0.2748091603053435,-0.076614453125,-0.017357962036132813,-0.0047884033203125
24072897,42,-15,-6,-80,23,-84,9858.0,0.32061068702290074,-0.11450381679389313,-0.04580152671755725,-0.047884033203124995,0.013766659545898436,-0.05027823486328125
24082919,8,49,24,-64,-17,-24,10022.0,0.061068702290076333,0.37404580152671757,0.183206106870229,-0.0383072265625,-0.010175357055664061,-0.0143652099609375
24092932,24,32,-1,-40,103,-56,10013.0,0.183206106870229,0.24427480916030533,-0.007633587786259542,-0.023942016601562498,0.061650692749023434,-0.033518823242187495
24102916,-6,17,34,-96,11,-64,9984.0,-0.04580152671755725,0.1297709923664122,0.2595419847328244,-0.05746083984375,0.006584054565429687,-0.0383072265625
24112958,24,32,37,-176,179,8,10042.0,0.183206106870229,0.24427480916030533,0.2824427480916031,-0.105344873046875,0.10714052429199218,0.0047884033203125
24122976,10,-24,10,-148,-237,52,10018.0,0.07633587786259542,-0.183206106870229,0.07633587786259542,-0.08858546142578125,-0.14185644836425781,0.031124621582031248
