timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L
22732981,-0.02,-0.07,0.0,0.0,0.0,0.0,0.0,0.0
22742936,0.01,-0.07,0.0018724273507412681,2.921653487096085e-08,3.120712251615349e-05,0.001872427350969209,0.003744854701938418,0.0
22752941,0.02,-0.07,0.002496569800650667,5.194050643316549e-08,4.1609496688204645e-05,0.0006241424503230697,0.0012482849006461394,0.0
22762936,0.03,0.0,0.0074897094029650725,1.0388101287160011e-07,-2.0804748344102343e-05,0.004993139602584558,0.0012482849006461392,0.008737994304522977
22772927,0.03,-0.06,0.003744854701229269,6.492563304277419e-08,4.160949668820463e-05,-0.003744854701938418,0.0,-0.007489709403876836
22782915,0.04,-0.06,0.004368997150868516,9.414216790425052e-08,5.2011870860255796e-05,0.0006241424503230699,0.0012482849006461398,0.0
22792957,0.04,-0.0,0.008113851851996477,1.7205292755768711e-07,-1.0402374172051178e-05,0.003744854701938418,0.0,0.007489709403876836
22803178,0.0,0.01,0.00624142450226828,2.402248422443011e-07,-6.241424503230699e-05,-0.001872427350969209,-0.0049931396025845575,0.0012482849006461394
22812934,0.05,0.01,0.009362136751815275,1.2660498443327782e-07,-1.0402374172051171e-05,0.003120712251615349,0.006241424503230698,0.0
22822944,0.04,0.02,0.009362136751815275,1.2660498443327782e-07,-3.12071225161535e-05,-2.168404344971009e-19,-0.0012482849006461398,0.0012482849006461394
22834235,0.05,0.0,0.008737994301568186,1.3634382939026477e-07,-1.3552527156068805e-20,-0.0006241424503230695,0.0012482849006461398,-0.0024965698012922788
22842918,0.03,0.01,0.008113851851321097,1.4608267434725175e-07,-3.120712251615351e-05,-0.0006241424503230701,-0.0024965698012922796,0.0012482849006461394
22852968,0.01,0.0,0.0062414245015929,2.142545890338657e-07,-4.1609496688204665e-05,-0.0018724273509692088,-0.0024965698012922783,-0.0012482849006461394
22862918,0.03,0.01,0.008113851851321097,1.4608267434725175e-07,-3.120712251615351e-05,0.0018724273509692088,0.0024965698012922783,0.0012482849006461394
22872949,0.03,0.01,0.008113851851321097,1.4608267434725175e-07,-3.120712251615351e-05,0.0,0.0,0.0
22882961,0.01,-0.0,0.0062414245015929,2.142545890338657e-07,-4.1609496688204665e-05,-0.0018724273509692088,-0.0024965698012922783,-0.0012482849006461394
22892948,0.02,0.0,0.006865566951502299,1.9153061747166104e-07,-3.12071225161535e-05,0.0006241424503230697,0.0012482849006461394,0.0
22902937,0.0,0.0,0.005617282051936769,2.434711238960446e-07,-5.201187086025582e-05,-0.0012482849006461394,-0.0024965698012922788,0.0
22912975,-3.26,1.92,-0.07801749091360669,0.00022992410189911797,-0.005440441691982757,-0.08363508834329135,-0.40694087761064146,0.23967070092405876
22922942,-13.35,7.29,-0.37258595649702164,0.004201382681483071,-0.021522512161973855,-0.2945952365524889,-1.2595194647519548,0.6703289916469769
22933008,-18.18,13.54,-0.28399071812075566,0.0017834236498345674,-0.03304834274460654,0.08862822794587583,-0.6029216070120853,0.780178062903837
22942938,-19.47,14.84,-0.283366944828961,0.001761960221891683,-0.03574255765516779,0.0006241424503231618,-0.1610287521833519,0.1622770370839982
22952960,-7.46,16.28,0.5557207250596694,-0.023623905963794056,-0.024747248155309716,0.8394715956845287,1.4991901656760132,0.17975302569304424
22962903,7.78,18.76,1.6615197759443399,-0.0436527064517478,-0.011473818711772433,1.1059804219724796,1.9023861885847164,0.3095746553602426
22972967,25.66,23.15,3.0514712045263774,-0.04984834107400667,0.002558984046324587,1.3899652368694762,2.2319334023552972,0.5479970713836548
22983101,45.63,31.34,4.808990043413166,-0.03458217938558209,0.01481298082100086,1.7575851401097646,2.492824946590341,1.0223453336291883
22992942,67.46,40.47,6.740891853326722,0.006802565792664632,0.028023996019505823,1.932345026200223,2.725005938110521,1.1396841142899252
23002901,92.93,51.53,9.019446164657342,0.08776837507311105,0.043013817201431555,2.2799923710301746,3.1793816419457186,1.3806031001146306
23012918,117.72,66.08,11.471954335391029,0.20641463946662109,0.05366584835361194,2.4553763995709557,3.094498268701779,1.8162545304401325
23022902,145.98,83.62,14.325512062171107,0.37566177975246035,0.06481719346605078,2.858572422479659,3.527653129225989,2.1894917157333293
23032911,170.51,104.13,17.130359709791595,0.5636092690061231,0.06899894788321535,2.8111375962551053,3.06204286128498,2.560232331225231
23042938,193.76,123.93,19.81056271901486,0.7536674495773471,0.07258776697257299,2.6869332486408157,2.9022623940022743,2.471604103279357
23052979,218.01,144.99,22.630760941638208,0.9634441678188692,0.07590612433345731,2.8279894424138288,3.027090884066888,2.6288880007607696
23062919,242.13,167.33,25.521972104370057,1.1860196554601463,0.07775774693608242,2.8997658242009825,3.010863180358489,2.788668468043476
23072967,266.98,269.1,33.41923335735411,1.484284669723586,-0.002257315195335105,7.902891705990712,3.101987978105659,12.703795433875763
23083140,290.23,298.16,36.684077018862325,1.467048730970912,-0.008301094589296832,3.2648891576399777,2.9022623940022743,3.6275159212776815
23092983,323.12,330.95,40.78330515779159,1.4332330919459437,-0.008197070847576295,4.099367613721919,4.105609038225151,4.093126189218687
23102928,347.6,361.03,44.188416215944144,1.395401651870842,-0.014022400383924907,3.4053212089626683,3.0558014367817514,3.7548409811435848
23112943,372.92,392.56,47.736138002997606,1.334189084728565,-0.020482274744768714,3.548249830086653,3.1606573684360244,3.9358422917372815
23122906,403.46,426.93,51.786423542263336,1.2431463044117357,-0.02446638405266436,4.051308645047044,3.812262086573305,4.290355203520782
