timestamp,encoderR,encoderL
27692,11362.13,7514.22
27702,11431.13,7538.72
27712,11484.05,7562.92
27722,11527.77,7590.08
27732,11566.82,7696.94
27742,11610.64,7729.5
27752,11654.43,7759.99
27762,11704.16,7790.82
27772,11747.35,7822.48
27782,11792.34,7853.74
27792,11843.13,7888.3
27802,11896.87,7922.37
27812,11945.2,7953.7
27822,11999.04,8065.48
27832,12049.23,8095.2
27842,12106.57,8127.54
27852,12165.72,8156.44
27862,12237.15,8181.79
27872,12298.19,8210.89
27882,12375.48,8238.49
27892,12447.15,8261.85
27902,12514.16,8284.86
27912,12584.14,8308.06
27922,12650.21,8408.28
27932,12708.0,8434.7
27942,12773.21,8462.91
27952,12831.58,8489.34
27962,12898.77,8515.62
27972,12976.56,8543.01
27982,13042.99,8567.93
27992,13121.56,8594.97
28002,13190.46,8621.4
28012,13259.29,8644.38
28022,13351.15,8669.64
28032,13434.48,8769.86
28042,13519.46,8794.28
28052,13591.56,8819.13
28062,13682.95,8840.55
28072,13757.87,8861.13
28082,13843.45,8882.32
28093,13926.95,8902.13
28112,13983.09,8923.01
28116,13983.09,8923.01
28123,13983.09,8923.01
28139,13983.09,8923.01
28143,13983.09,8923.01
28155,13983.09,8923.01
28164,13983.09,8923.01
28179,13983.09,8923.01
28182,13983.09,8855.42
28193,13983.09,8860.37
28202,13984.12,8920.92
28212,14056.11,8951.84
28222,14118.63,8986.99
28232,14175.81,9018.81
28242,14241.78,9130.96
28252,14298.61,9163.73
28262,14367.3,9194.28
28272,14425.23,9225.93
28282,14463.37,9244.37
28293,14521.89,9272.7
28302,14615.95,9322.56
28312,14672.34,9353.04
28322,14747.24,9384.5
28332,14821.91,9495.44
28342,14892.28,9524.47
28352,14971.12,9554.07
28362,15039.17,9582.21
28372,15124.21,9607.27
28382,15193.02,9636.94
28392,15270.07,9665.74
28402,15341.91,9692.4
28412,15416.18,9721.64
28422,15502.35,9747.99
28432,15572.28,9856.61
28442,15650.1,9887.23
28452,15718.32,9916.2
28462,15784.82,9945.94
28472,15873.38,9975.54
28482,15959.33,10003.82
28492,16047.59,10032.67
28502,16121.33,10060.3
28512,16217.13,10084.79
28522,16295.82,10110.75
28532,16382.37,10212.89
28543,16468.12,10237.66
28552,16551.96,10262.93
28562,16635.25,10287.78
28572,16710.93,10313.44
28582,16793.75,10340.02
28592,16863.87,10366.24
28602,16948.54,10395.74
28612,17029.57,10426.09
28622,17101.57,10453.9
28632,17178.96,10563.94
28642,17254.09,10597.11
28652,17330.57,10626.64
28662,17395.61,10659.04
28672,17467.96,10689.47
28682,17535.42,10726.29
28692,17601.15,10763.89
28702,17666.29,10798.52
28712,17724.69,10835.6
28722,17790.39,10949.33
28732,17847.13,10988.21
28742,17904.92,11025.87
28752,17963.42,11061.24
28762,18020.69,11101.86
28772,18073.72,11142.57
28782,18133.38,11178.68
28794,18175.79,11286.0
28802,18244.62,11330.66
28812,18292.13,11368.04
28822,18354.05,11404.45
28832,18403.09,11440.51
28842,18458.51,11480.32
28852,18508.44,11517.58
28862,18562.39,11557.17
28872,18610.16,11676.28
28882,18661.88,11712.54
28893,18712.22,11743.52
28902,18772.88,11783.71
28912,18821.07,11821.5
28922,18875.5,11858.96
28932,18922.29,11892.31
28942,18971.36,12006.62
28952,19015.92,12044.13
28962,19073.21,12080.19
28972,19121.14,12116.53
28982,19176.83,12151.69
28982,19176.83,12151.69
28992,19229.79,12189.7
28992,19229.79,12189.7
29002,19293.0,12226.91
29002,19293.0,12226.91
29012,19349.23,12258.63
29012,19349.23,12258.63
29022,19425.15,12371.57
29032,19479.22,12400.88
29042,19527.86,12431.44
29052,19571.11,12462.16
29062,19616.72,12492.28
29072,19657.59,12528.89
29082,19705.0,12565.79
29092,19743.34,12601.09
29102,19801.74,12640.45
29112,19845.88,12755.52
29122,19895.72,12795.36
29132,19940.27,12831.37
29142,19994.03,12864.88
29152,20040.55,12901.34
29162,20088.06,12934.71
29172,20139.29,12970.1
29182,20189.45,13082.76
29192,20232.8,13113.87
29202,20283.69,13149.65
29212,20329.9,13184.54
29222,20381.39,13216.47
29232,20428.28,13252.86
29242,20489.94,13285.3
29252,20540.79,13319.69
29262,20599.54,13352.88
29272,20650.95,13460.65
29282,20708.92,13493.4
29292,20756.76,13527.13
29302,20806.95,13555.96
29312,20864.77,13589.35
29322,20924.43,13620.11
29332,20977.36,13653.98
29342,21037.47,13688.08
29352,21089.48,13719.7
29362,21145.53,13834.21
29372,21204.78,13869.65
29382,21267.41,13899.87
29392,21322.17,13930.57
29402,21390.06,13960.56
29412,21451.38,13992.54
