timestamp,encoderR,encoderL,x_odom,y_odom,theta_odom,delta_S,dist_R,dist_L,theta_fused,x_fused,y_fused
25622961,8360.79,5263.57,133.55490150372557,507.1913990692909,3.221844133316031,6.872432520507299,9.71789795153024,4.026967089484359,1.5093438388735245,140.9421729562537,514.4320417072992
25632916,8441.18,5289.62,126.9506052330277,506.47190931640523,3.278370634566956,6.643372241238729,10.034962316294243,3.2517821661832156,1.542079995074314,133.85431256569726,513.8280207815501
25642911,8521.72,5316.98,120.30695301175138,505.3694867427797,3.3336904604139237,6.734497038985842,10.053686589803888,3.4153074881677967,1.579296844466505,127.01867574381573,513.2060623272649
25652936,8589.85,5343.18,114.5535993391905,504.11968734433543,3.3773076153173345,5.887535733897625,8.504565028102274,3.270506439692976,1.6166254002600733,120.14703897628901,511.2548503270609
25662938,8660.12,5372.63,108.53397968406959,502.53800649146297,3.419770106687648,6.223948514621667,8.771697996840476,3.6761990324028577,1.659241272477382,114.13605588423731,510.32961428238286
25672944,8734.46,5399.8,102.48638188364022,500.64928328231457,3.4688381056572113,6.335670013229381,9.279749951403192,3.39159007505557,1.699449257282529,107.84759920953496,508.8363869468429
25682913,8811.55,5421.93,96.68157080464128,498.4919204740164,3.5260095541068046,6.192741392105513,9.623028299081106,2.76245448512992,1.7389493970300505,101.57073010497629,506.7739569691102
25692981,8880.36,5525.9,86.61239684272368,494.63122724491706,3.489434806517875,10.78393325668204,8.58944840134625,12.97841811201783,1.7764005069126065,94.67799390184454,509.0880941267626
25702952,8954.75,5555.47,80.56562313699223,492.2778760318306,3.536058247557007,6.488584913558635,9.285991375906558,3.6911784512107118,1.8073852443943184,85.18945269589643,500.9618641903966
25712898,9019.08,5585.88,75.14755325188241,489.9094223636696,3.5713431007486047,5.913125574360749,8.030216765856606,3.7960343828648924,1.838432757239056,79.09059158713973,498.0040733725707
25723001,9098.82,5619.45,68.7910736890068,486.80932755490085,3.619370862300965,7.072158104610671,9.953823797752289,4.190492411469053,1.8706326118648424,73.16774107619185,496.69880849244424
25732957,9169.33,5651.42,63.17120902723259,483.7550441742655,3.65946161236005,6.396211830910848,8.801656834455956,3.9907668273657397,1.900090418606343,66.81206640191759,492.8916836726838
25744105,9243.59,5688.7,57.18976725212275,480.19310498174616,3.697929592048296,6.961684890903518,9.269763672198259,4.653606109608776,1.9319819614859208,60.815218939751176,490.3059500068907
25752918,9313.64,5719.37,51.92052816223639,476.76477066905477,3.7388941415378327,6.286362759653917,8.744235729026116,3.8284897902817185,1.9605670552384837,54.88444840161883,486.04151175141214
25762920,9376.75,5753.68,46.9447017876887,473.2701513221572,3.76885297915334,6.080395751047407,7.877926007977859,4.282865494116955,1.9984536050511887,49.50399900593338,482.3443404845596
25772898,9481.83,5778.44,40.587869411805066,468.24388835624484,3.8524048485032556,8.103865574994689,13.116977735989625,3.0907534139997543,2.0371013787516072,43.441844344851475,480.57786142811676
25782942,9566.25,5881.51,31.646038725308863,460.6952750193902,3.8330044206723795,11.702046801107276,10.538021131254718,12.866072470959836,2.078694521068595,35.110532365269364,478.5849075620075
25792968,9658.62,5904.69,26.25937404538717,455.8998295337529,3.9049784475688027,7.2119660134830825,11.530407627268492,2.893524399697674,2.122438527216996,28.001579501220277,466.9186479588492
25802938,9741.33,5926.55,21.68901830669639,451.2405261642583,3.9682768944057325,6.5266576030283225,10.324564413244111,2.7287507928125336,2.165938202192017,22.71876216142085,461.3826506100132
25812985,9823.67,5949.53,17.38809132399412,446.26935805132325,4.030025387491029,6.5734682868025525,10.27837787192033,2.868558701684774,2.209773832530436,17.885349260827248,456.6017375112485
25822965,9905.77,5972.15,13.425160418503289,441.0717881694322,4.091898709066389,6.536019739783202,10.24841903430485,2.8236204452615543,2.253317138072132,13.37688039295923,451.42975928626436
25832990,9982.7,5991.48,10.079893450696003,436.0812776184497,4.151816384297404,6.007995226809883,9.603055740670788,2.4129347129489784,2.2970567811638656,9.534565303611961,445.64991838791155
25842977,10061.52,6013.68,6.886351963385228,430.6447883777178,4.2107146268595566,6.305087033163677,9.838981586892833,2.77119247943452,2.340630628102234,5.791118083891764,440.70302278114116
25852925,10144.12,6041.06,3.7595349397534887,424.53398760486107,4.2681565370376235,6.86431866865315,10.310833279337157,3.4178040579691435,2.38403431583057,2.002844730004706,435.4687108362924
25862920,10211.56,6070.54,1.2681466739257794,419.0216679867288,4.307643949394729,6.049188628531083,8.418433369957402,3.6799438871047645,2.4275338722297866,-0.7246578230144296,428.59412286490965
25873074,10284.94,6103.57,-1.2184839039753879,412.8632438257182,4.349617529178956,6.641499813887832,9.159914600941498,4.1230850268341666,2.462585697974312,-3.8263563799477853,423.28260197025224
25882927,10354.25,6132.6,-3.2759007379748866,407.08052545674764,4.391518292343977,6.137816856477077,8.651862646378328,3.6237710665758245,2.4979597635921706,-6.062340184465758,416.63283957295795
25892912,10428.18,6237.3,-6.961100042282473,396.55813176817793,4.359510187016576,11.149056590120999,9.228570270476945,13.069542909765055,2.5338010816961174,-12.3127260732454,413.6102460257715
25902922,10504.06,6264.35,-9.027535304072604,390.4752497867156,4.410304980098701,6.424298241175318,9.471985826102806,3.37661065624783,2.570412296508617,-12.301147360909905,400.1296164071465
25912944,10582.53,6293.64,-10.86363159176489,384.00496500554584,4.46146385627685,6.725759044681469,9.7952916153704,3.656226473992538,2.6082157102936434,-14.753384417584046,394.0037745005889
25922946,10660.93,6326.45,-12.427201578759977,377.24227662312575,4.508888280127231,6.941088190042803,9.786553621065687,4.0956227590199195,2.643958140706797,-16.902680409273316,387.4267473834451
25932966,10731.62,6355.55,-13.553705080523734,371.1166804163893,4.552151754308793,6.228317511773968,8.824125962667624,3.6325090608803117,2.6803696392249967,-17.953329624847154,380.11522769227383
25942909,10801.81,6382.12,-14.381778284864149,365.13451861781203,4.597526910447279,6.039202349325922,8.76171171763509,3.3166929810167565,2.7188275340262287,-19.012543183301503,373.69990545183725
25952903,10871.79,6414.15,-14.986505393803995,358.796425088572,4.637003920430215,6.366877135745705,8.735497734721857,3.998256536769553,2.752618671413754,-20.23140669538803,367.6482751534521
25962979,10941.91,6450.98,-15.373918695997123,352.1324733493607,4.671633424048972,6.675203506205162,8.752973723330602,4.5974332890797225,2.7820167207462907,-21.199604189429785,361.23686464017885
25972915,11002.08,6482.68,-15.522686466531878,346.40040686298744,4.701248983316801,5.733996691118092,7.51093024718783,3.957063135048353,2.8049632204528887,-20.763999483083452,354.0884250774041
25982932,11069.78,6515.0,-15.477353805963961,340.1578986740011,4.738052583137519,6.242672788131371,8.450888777374454,4.034456798888287,2.8232509337044434,-21.433586999934715,348.4084453147841
25992981,11127.27,6629.37,-15.519409664215223,329.4314689680948,4.678883878846892,10.726512151252255,7.176389893814628,14.276634408689883,2.8354879380396403,-25.68527132928528,343.4528163919467
26002990,11196.63,6666.77,-15.631895624806182,322.76907369104316,4.712129866700765,6.66334479964905,8.65810407088147,4.66858552841663,2.8451158909777154,-21.882599126194446,331.40883686253596
26012902,11256.59,6706.59,-15.568274135834876,316.54170530556456,4.733080248283278,6.227693369323631,7.48471626427437,4.970670474372891,2.855199901380424,-21.596983464445085,324.55845676006714
26022931,11321.76,6740.83,-15.340129447533073,310.3413010941029,4.765254791597433,6.2046000986616265,8.1350726975109,4.274127499812353,2.8682383078821028,-21.531455578125037,318.255627553112
26032904,11379.71,6781.56,-14.959606346780355,304.1940295402179,4.783167679921703,6.159037699788014,7.233810999244242,5.084264400331785,2.883129218709429,-21.2827019501499,311.9598119647962
26043070,11442.98,6825.5,-14.41930942725151,297.5244470288643,4.8032754691962785,6.691431209913633,7.8978985663881796,5.484963853439087,2.8968373925137048,-21.44034451624836,305.85994803036283
26052919,11494.78,6858.83,-13.88625532256015,292.2379290375659,4.822488654292058,5.313324679600356,6.466115785347139,4.160533573853574,2.91011811293455,-19.58271515341339,298.77770696115647
26062952,11559.07,6973.19,-12.950093802875388,281.1269929647145,4.770403966812597,11.150304875021561,8.025223626253913,14.275386123789211,2.9212609194673376,-24.75325563581145,294.7354484064048
26072902,11620.09,7008.95,-12.520659070803747,275.1018266039058,4.796680363971198,6.04045063422671,7.617034463742797,4.463866804710622,2.9280151105178844,-18.848941239742317,282.42724016471084
26082962,11675.45,7050.08,-11.969227113447822,269.1047749633572,4.811482942418028,6.022350503167344,6.910505209977101,5.134195796357585,2.9345705485360014,-18.410327372770297,276.3590111073938
26092952,11736.67,7086.1,-11.289689327903195,263.07377621430294,4.837696925331596,6.069161186941516,7.642000161755584,4.496322212127448,2.9423621060045004,-17.91361049863179,270.3291211901355
26102916,11790.3,7119.55,-10.553857169457228,257.6887851420975,4.858688916410794,5.435032457413229,6.694551922165145,4.1755129926613135,2.9503139273323296,-16.62144691619282,264.12826131749375
